,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Incisa,Temperature_Firenze,Hydrometry_Nave_di_Rosano
1998-01-03,0.0,0.0,0.6000000000000001,0.4,0.4,0.0,0.4,7.3500000000000005,1.905
1998-01-08,4.2,0.4,3.4,5.6,1.2,1.2,9.999999999999998,11.137500000000001,1.685
1998-01-13,1.6,0.0,0.4,5.800000000000001,1.2,3.4,0.0,8.512500000000001,1.7475
1998-01-18,19.799999999999997,10.799999999999999,18.8,33.6,16.0,6.199999999999999,25.2,13.6375,2.3425000000000002
1998-01-23,6.0,1.0,1.5999999999999999,4.800000000000001,3.4,3.6,0.0,12.512500000000001,1.8475000000000001
1998-01-28,20.400000000000002,13.6,19.000000000000004,24.8,12.4,20.2,27.4,12.4375,1.6774999999999998
1998-02-02,10.6,8.399999999999999,7.999999999999999,8.0,1.6,5.4,10.0,12.3875,1.7925
1998-02-07,7.0,4.8,5.8,6.4,7.4,0.8,0.6,13.775,1.715
1998-02-12,9.0,0.8,6.2,3.0,4.6,3.8000000000000003,5.800000000000001,13.5125,1.55
1998-02-17,6.6,4.2,3.6,4.8,2.6,6.2,6.6,14.275000000000002,1.5450000000000002
1998-02-22,24.0,12.6,17.8,20.0,8.0,20.8,25.4,10.7625,1.9024999999999999
1998-02-27,10.6,5.800000000000001,6.6,7.6000000000000005,6.2,13.0,14.0,13.625,1.5975000000000001
1998-03-04,14.799999999999999,27.8,12.2,13.0,12.0,9.799999999999999,22.2,15.625,1.6125
1998-03-09,15.2,6.4,4.6,9.0,9.2,13.799999999999999,1.2,11.5375,1.6075
1998-03-14,2.0,1.2,1.4,7.8,2.8000000000000003,4.6,6.0,10.45,1.85
1998-03-19,0.4,1.4,1.4,1.8,0.4,13.6,0.0,12.8625,1.6050000000000002
1998-03-24,11.2,6.0,7.0,8.6,6.4,4.0,10.6,11.1875,1.79
1998-03-29,0.2,2.2,2.4,2.2,2.6,2.4000000000000004,0.0,9.8625,1.6725
1998-04-03,12.0,9.6,9.4,11.799999999999999,9.6,14.200000000000001,11.600000000000001,9.899999999999999,1.6825
1998-04-08,13.8,8.2,6.4,9.2,2.6,6.8,1.2000000000000002,7.699999999999999,2.0625
