,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
2007-06-10,70.8,42.0,89.8,90.0,93.2,86.0,71.0,83.39999999999999,63.4,98.0,14.912696629213483,6.751011235955056,2.7282022471910112,7.407977528089887,4.137640449438202,22.607865168539327,18.507865168539325,21.588764044943822,23.41741573033708,1079093.6763499998,1477126.2236199996,1011330.396844,0.0,0.0,0.1260674157303371,0.10089887640449438
2007-09-08,340.4,304.2,271.2,229.79999999999998,282.2,258.6,330.0,206.4,293.4,397.0,14.956629213483145,6.70561797752809,2.4677528089887644,7.689325842696629,4.203033707865169,13.540449438202247,10.607865168539327,0.0,13.955617977528089,1015410.0645300001,1385246.3959100002,1023799.0965900001,0.0,0.0,0.11426966292134834,0.02696629213483146
2007-12-07,351.59999999999997,330.4,399.2,268.0,307.40000000000003,327.99999999999994,348.6,96.2,296.8,435.4,14.711573033707865,6.369887640449438,1.886741573033708,5.869101123595504,3.6571910112359545,7.136516853932583,4.943820224719101,3.212921348314607,7.414606741573033,914776.2515350002,1339275.3696199998,1039104.1135400002,0.0,0.0,0.2849438202247191,0.19168539325842696
2008-03-06,428.0,319.6,462.4,327.8,452.0,434.4,464.20000000000005,264.8,451.2,636.6,14.374494382022474,5.979101123595505,1.6535955056179774,5.019775280898876,3.33561797752809,14.066292134831462,9.999999999999998,14.052808988764045,14.818539325842696,876356.4479380001,1360838.57709,973922.3514999999,0.0,0.0,0.38808988764044944,0.4628089887640449
2008-06-04,143.8,80.8,146.39999999999998,61.0,98.80000000000001,81.0,86.39999999999999,163.6,103.2,168.2,14.46325842696629,6.327865168539326,2.456292134831461,6.583483146067416,3.9668539325842693,23.392134831460677,19.107865168539323,23.206179775280898,24.29325842696629,997472.6741499999,1433341.2132500003,1074101.5050899999,0.0,0.0,0.19584269662921347,-0.0401123595505618
2008-09-02,601.8,451.6,478.8,419.4,512.4,525.0,560.6,344.2,588.1999999999999,696.4,14.93561797752809,6.365505617977529,2.455056179775281,7.642921348314607,4.215393258426966,15.584831460674156,12.273033707865167,15.858988764044941,15.788764044943822,970789.558518,1428234.62174,1071566.4671999998,0.0,0.0,0.17764044943820226,-0.08247191011235953
2008-12-01,944.4,556.6,575.0000000000001,481.6,861.2,419.29999999999995,811.2,135.0,733.6,1180.2,14.517303370786516,4.987078651685393,1.176179775280899,4.493932584269663,2.702921348314607,6.0,3.8606741573033703,6.830337078651685,6.220224719101125,892477.004624,1461649.6189299999,1109365.632,0.0,0.0,0.5915730337078652,0.4489887640449439
2009-03-01,390.00000000000006,304.80000000000007,434.4,305.00000000000006,352.00000000000006,338.8,400.40000000000003,236.39999999999998,376.40000000000003,477.79999999999995,14.107640449438202,5.445842696629213,1.6775280898876406,4.659887640449439,3.2676404494382023,14.667977528089885,11.047752808988765,14.825842696629211,15.3938202247191,854989.0312530001,1431750.93063,1116321.18022,0.0,0.0,0.41292134831460675,-0.2537078651685393
2009-05-30,119.60000000000001,64.2,76.4,54.199999999999996,43.6,55.0,58.400000000000006,196.39999999999998,116.0,91.0,14.24505617977528,6.142134831460674,2.750112359550562,7.054382022471909,4.167078651685394,23.60168539325843,19.426404494382023,13.603370786516855,24.535955056179777,1038002.255307,1425418.80667,1132718.88507,0.0,0.0,0.1470786516853933,-0.5925842696629213
2009-08-28,467.79999999999995,344.6,421.4,347.8,391.8,432.6,473.40000000000003,255.59999999999997,401.6,607.9999999999999,14.579101123595503,6.2239325842696624,2.5419101123595507,8.060224719101123,4.189662921348314,16.714044943820223,13.332584269662924,0.0,17.009550561797752,1055028.65247,1447028.30926,1140119.0208,0.0,0.0,0.15011235955056176,-0.19404494382022475
2009-11-26,952.2,500.6,510.80000000000007,491.8,782.2,668.3,859.8,182.0,825.8000000000001,1185.6,14.302359550561796,5.475617977528089,1.4338202247191012,5.599550561797753,3.2,5.954494382022471,2.9511235955056176,6.030337078651685,6.330898876404495,945918.029512,1505791.728,1138352.1408,0.0,0.0,0.5334831460674158,0.149438202247191
2010-02-24,340.6,384.4,534.6,374.6,315.79999999999995,362.1,321.0,296.0,297.0,423.0,13.9014606741573,5.519101123595505,1.4435955056179774,4.975730337078652,3.2660674157303373,12.407865168539326,7.965730337078652,12.662921348314605,13.296629213483145,903307.934071,1395450.3743999999,1123854.4368,0.0,0.0,0.39247191011235955,-0.45584269662921356
2010-05-25,489.0,328.0,347.79999999999995,315.0,345.4,434.40000000000003,459.8,241.2,370.6,519.2000000000002,13.755955056179772,5.795393258426967,1.988202247191011,6.427977528089888,3.833033707865168,22.684831460674154,18.069662921348318,22.47584269662921,23.55955056179775,994078.8528409998,1462319.568,1227673.8864000002,0.0,0.0,0.24595505617977526,-0.8312359550561796
2010-08-23,771.3999999999999,568.6,520.6,378.8,598.0,593.4,609.8000000000001,303.0,635.4000000000001,873.0,13.64561797752809,5.76,1.8841573033707866,7.072022471910112,3.8868539325842697,16.39887640449438,12.642696629213484,16.671348314606742,16.813483146067416,951420.999844,1407330.2880000002,1157287.2624000001,0.0,0.0,0.3640449438202247,-0.5913483146067416
2010-11-21,676.6,416.4,510.0,384.40000000000003,559.4,508.4,629.8000000000001,263.2,567.8000000000001,865.6000000000001,13.29797752808989,5.008988764044944,1.3657303370786515,5.204719101123596,2.6597752808988764,6.33314606741573,3.5865168539325847,6.9477528089887635,6.621910112359551,921757.066087,1451727.9050800002,1202839.2,0.0,0.0,0.5376404494382022,-0.25606741573033703
2011-02-19,234.0,198.60000000000002,230.60000000000002,185.0,222.0,160.2,223.0,186.2,219.60000000000002,278.79999999999995,13.374719101123597,5.514606741573034,1.7474157303370788,5.58,3.3351685393258426,12.5438202247191,8.717415730337079,12.770786516853931,13.353370786516852,872902.6928300001,1412084.9577600001,1128424.3488,0.0,0.0,0.31943820224719105,-0.8278651685393258
2011-05-20,189.2,120.6,167.39999999999998,90.6,189.8,170.4,197.2,264.8,196.8,203.2,13.02561797752809,6.140224719101123,2.7076404494382023,7.574606741573033,4.096741573033707,22.4561797752809,17.60112359550562,22.20505617977528,23.28988764044944,973733.5296,1438380.4392000001,1112854.7232000001,0.0,0.0,0.14303370786516856,-1.0574157303370788
2011-08-18,566.4000000000001,204.6,143.39999999999998,137.8,376.59999999999997,266.2,438.79999999999995,172.4,401.2,560.2,13.351573033707865,6.269775280898878,2.9493258426966293,8.920561797752809,4.456741573033708,18.695505617977524,15.68314606741573,19.18932584269663,19.172471910112357,976692.69921,1459490.184,1126194.192,0.0,0.0,0.16325842696629214,-1.009438202247191
2011-11-16,349.20000000000005,142.60000000000002,156.39999999999998,158.60000000000002,287.4,238.39999999999998,332.0,201.79999999999998,259.6,465.79999999999995,13.3647191011236,6.0076404494382025,2.530224719101124,8.030224719101124,4.2469662921348315,6.168539325842697,4.57247191011236,7.221348314606743,6.511235955056178,886852.3104610001,1408555.4400000002,1123743.4560000002,0.0,0.0,0.3052808988764045,-0.909438202247191
