,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
2004-09-23,801.0,1059.6,826.6,890.4,960.0,13.795543175487467,250.1159331476323,2.2818941504178274
2005-09-18,948.6,1246.2,997.5999999999999,936.6000000000001,1146.4,13.568384401114207,251.00707520891368,3.905013927576602
2006-09-13,712.0,1028.0,740.8,665.6,1016.8,15.408356545961004,248.94284122562678,1.660724233983287
2007-09-08,772.0,938.8,776.2,626.0,945.0,14.364902506963789,248.3183844011142,1.3536490250696378
2008-09-02,880.5999999999999,1265.4,903.3999999999999,864.0,1029.8000000000002,14.895125348189415,249.98083565459612,3.102980501392757
2009-08-28,1128.4,1347.6,1139.8,1074.8,1481.8000000000002,14.387047353760446,249.92044568245126,3.2792200557103057
2010-08-23,1004.8,1320.6,1079.2,1070.8,1323.0,14.66058495821727,250.64445682451253,3.91075208913649
2011-08-18,559.2,617.8,604.1999999999999,693.0,767.4,15.716434540389972,245.94111420612813,1.2558774373259054
2012-08-12,679.0,1434.0,1293.0,1389.2000000000003,1483.0,15.186350974930361,249.21930362116996,3.922757660167131
2013-08-07,997.0,1802.0,1398.4,1281.2,1523.6,15.78509749303621,249.71142061281336,4.096796657381615
2014-08-02,977.8000000000001,1091.0,1013.6000000000001,1120.0,1007.6,14.14707520891365,250.16041782729803,2.35983286908078
2015-07-28,969.6,1307.2,1057.8,1042.4,1184.2,13.862395543175488,249.4618384401114,2.5910027855153204
2016-07-22,807.2,1070.2,788.0,762.0,808.8,14.164066852367688,249.2940668523677,1.6701949860724234
2017-07-17,1067.0,1487.8000000000002,995.2,1111.4,1274.6,13.599303621169915,249.64239554317547,3.0290250696378824
2018-07-12,818.8,997.8,888.0,736.6,908.4000000000001,14.095403899721449,249.19949860724233,1.298885793871866
2019-07-07,1240.2000000000003,1381.8000000000002,1032.0,1205.4,1292.0,14.329805013927576,249.99623955431758,3.2724233983286912
