,Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
2012-09-26,690.5999999999999,713.2,32.44238805970149,93.89179104477611,109.09253731343283,98.13611940298506,100.40574626865671,91.78059701492539,94.14029850746267,95.90582089552238,96.5281343283582,124390.978,442536.07999999996,460386.12600000005,463642.52,920289.08,357242.676,472727.36999999994,436606.904,9.77373134328358,12.431417910447761
2013-02-08,515.4,558.2,25.861343283582087,93.56962686567164,110.31970149253732,98.20768656716416,100.67641791044775,91.8213432835821,93.90679104477613,95.63029850746268,94.16029850746268,174948.61600000004,433620.41799999995,451547.226,456051.47000000003,889886.976,349119.004,457612.8500000001,428979.378,11.888805970149253,14.355820895522386
2013-06-23,57.0,344.4,28.82365671641791,93.11902985074626,110.88611940298509,97.87037313432833,100.250223880597,91.54268656716418,93.49037313432835,95.13358208955223,94.9731343283582,136148.80599999998,426189.29800000007,465426.01,456431.74,815871.72,352217.096,450194.82999999996,435374.45,19.89313432835821,21.303059701492536
2013-11-05,854.2,785.4,30.563059701492534,93.45492537313432,112.94432835820896,97.93014925373134,100.24559701492537,91.6797014925373,93.83089552238805,95.49858208955224,95.22514925373136,118387.55600000001,448640.598,472633.29000000004,455850.718,893677.8060000001,360259.25599999994,467812.00800000003,440524.908,8.117537313432836,9.775223880597016
2014-03-20,427.2,447.19999999999993,20.677537313432836,92.41589552238807,110.82529850746266,97.38276119402985,99.38962686567164,91.10276119402985,92.93507462686567,94.41380597014926,93.8642537313433,165911.28399999999,407604.566,454597.25600000005,444170.338,651513.212,338583.01399999997,438842.2100000001,429171.912,16.168955223880598,17.712985074626868
2014-08-02,473.20000000000005,542.0,28.13268656716418,91.18014925373134,107.80164179104479,96.05582089552239,97.39276119402986,90.17455223880597,92.89440298507462,93.28626865671642,93.40940298507464,166150.372,405363.73600000003,449558.45999999996,442950.96,631335.39,339350.68799999997,444566.97400000005,416556.938,16.221641791044775,17.831194029850746
2014-12-15,62.800000000000004,163.2,29.675373134328357,91.03679104477612,107.97783582089552,95.73716417910448,97.31768656716417,89.80701492537312,97.29865671641788,93.22052238805969,94.27805970149252,150796.53999999998,399732.17799999996,445663.60399999993,423777.45200000005,620792.212,323220.6399999999,407354.218,394751.848,9.610298507462685,11.939179104477615
2015-04-29,13.4,56.0,25.137014925373133,90.48925373134327,106.53992537313434,95.02694029850745,98.59783582089553,89.07597014925373,97.32373134328358,92.77044776119403,93.45776119402986,183569.42200000002,401868.78,440368.718,426487.10199999996,618664.352,321975.448,410402.244,397484.422,12.417014925373135,14.742537313432836
2015-09-11,114.0,150.4,37.430820895522395,90.4282089552239,106.74611940298507,94.81410447761193,101.64402985074626,88.7197014925373,97.35141791044774,92.71873134328358,94.1671641791045,138278.51,397542.12,449096.37400000007,429786.75,616861.07,332350.726,417626.25,403384.512,11.471119402985074,14.126268656716418
2016-01-24,124.80000000000001,166.0,43.289402985074624,90.54843283582088,108.29194029850747,95.16425373134328,107.13761194029851,88.99552238805971,97.35365671641793,93.13164179104479,94.58044776119405,126670.07,429684.518,499155.496,439346.88000000006,625648.0819999999,346942.16000000003,447948.9660000001,434275.42,12.550373134328359,15.010298507462686
2016-06-07,119.0,253.0,53.93380597014926,91.60865671641791,112.99194029850747,96.88485074626865,108.78492537313436,89.84328358208955,97.32716417910449,94.16201492537314,95.86873134328359,122732.51000000001,441361.01,530126.8600000001,455582.032,611514.5700000001,363837.59,448332.424,457475.574,15.131567164179105,17.84074626865672
2016-10-20,151.60000000000002,217.8,37.93955223880597,92.61141791044777,115.18388059701492,98.14828358208956,109.30611940298505,90.9455223880597,95.12111940298507,95.26186567164179,98.62798507462686,74209.32,497202.67000000004,673771.6699999999,499110.39,787200.4700000001,418443.16000000003,501398.82,560181.0800000001,11.377537313432835,13.652462686567164
2017-03-04,48.8,39.8,33.69171641791045,94.40574626865671,116.38402985074626,98.69940298507464,105.74753731343283,91.03440298507464,94.27417910447762,96.27089552238806,103.52589552238804,46556.5,440389.69999999995,532394.87,445305.72,966110.29,363823.75,465860.22000000003,461863.0199999999,10.564776119402984,11.981865671641792
2017-07-17,158.60000000000002,90.4,35.79507462686566,96.38291044776119,116.94014925373133,98.72828358208953,101.3918656716418,91.22179104477613,95.5168656716418,96.92820895522388,104.78313432835822,41070.85999999999,375941.82999999996,431243.47,427493.08,944278.45,339087.99,474655.53,380651.4,10.529328358208955,12.270447761194031
2017-11-29,435.0,329.4,35.35305970149253,98.09873134328357,117.28037313432836,100.1770895522388,103.37805970149255,92.69537313432836,96.74253731343286,98.42828358208955,99.70902985074629,111170.43,455201.52,393898.44999999995,476795.08,1043735.09,358681.4900000001,523405.13,431924.13000000006,7.805895522388061,10.00731343283582
2018-04-13,127.8,145.6,39.625970149253725,98.8729104477612,114.434776119403,100.55350746268658,103.23962686567165,92.87365671641791,96.13820895522389,97.81641791044777,90.82589552238808,338329.44000000006,457789.06000000006,438987.38,475117.54000000004,1004761.4600000001,304442.86,507605.97000000003,435858.3,10.449850746268659,12.493880597014927
2018-08-26,312.8,248.39999999999998,45.584552238805976,100.34268656716417,115.59970149253732,101.03947761194028,103.84727611940298,93.29932835820895,96.24179104477611,101.32373134328358,93.53432835820895,186245.87,441192.99,425719.97,456002.22,990571.94,323456.27,479458.52999999997,422141.14999999997,9.981492537313434,12.117761194029852
2019-01-08,429.20000000000005,475.20000000000005,38.679925373134324,100.60977611940298,113.5834328358209,101.62052238805968,104.23910447761192,94.39201492537313,96.67522388059702,98.45082089552238,91.81007462686568,382234.87999999995,471794.34,395874.76,483079.95,1026026.5499999998,282943.56000000006,493795.74000000005,425673.02999999997,8.200074626865671,10.177089552238806
2019-05-23,245.59999999999997,299.2,47.932537313432846,101.14111940298507,111.98492537313433,101.97156716417909,104.30432835820896,93.7044776119403,97.10111940298506,99.12328358208956,92.1886567164179,290062.44,486393.06000000006,372437.77,482769.47,988254.67,358488.15,483915.77,413734.68000000005,20.79126865671642,23.001194029850744
2019-10-05,647.5999999999999,839.4,46.43179104477612,100.8744776119403,111.52925373134329,101.82373134328357,104.53208955223883,93.94186567164179,96.6186567164179,99.22925373134329,93.31328358208957,268558.21,474207.35000000003,260464.37,479222.6100000001,955910.5700000002,302597.36,479570.80999999994,386266.1,9.277537313432836,11.29902985074627
2020-02-17,249.2,261.2,47.59074626865672,100.88470149253733,110.31858208955222,101.95044776119403,104.41052238805972,97.65779850746269,96.25910447761194,97.88641791044775,90.80746268656716,316418.316,506826.056,361267.22,508265.01399999997,956633.1440000001,285995.21400000004,511164.38600000006,419689.02999999997,12.783805970149254,14.768059701492538
