,Rainfall_Simignano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
2008-03-11,208.6,176.6,216.4,155.6,150.8,800.0000000000001,210.0,8.726966292134833,0.0,0.0,13.0438202247191,13.042696629213482,14111.0593916,13215.7086502,13888.0984082
2008-06-09,93.0,52.199999999999996,127.0,96.6,125.2,206.4,79.8,9.235955056179776,0.0,0.0,22.168539325842698,23.331460674157302,12618.5179954,12444.0258314,14433.0331229
2008-09-07,428.6,469.59999999999997,353.80000000000007,354.00000000000006,546.8,595.0,298.6,9.462921348314609,0.0,0.0,13.234831460674158,13.988764044943817,13844.7573122,12902.9544303,13881.3704742
2008-12-06,441.4000000000001,370.2,299.4,220.0,224.4,1723.9999999999998,212.0,8.535955056179775,0.0,0.0,5.367415730337078,6.019662921348314,14276.9868676,13234.7223531,13793.547433000002
2009-03-06,190.6,194.0,141.4,158.79999999999998,97.60000000000002,178.39999999999998,126.39999999999999,7.704494382022471,0.0,0.0,13.769101123595503,14.1876404494382,13051.5286411,12155.889151000001,13527.7288999
2009-06-04,88.6,115.79999999999998,123.19999999999999,88.60000000000001,87.4,113.8,70.39999999999999,7.6494382022471905,0.0,0.0,22.49157303370787,22.797191011235956,12689.0567055,12415.208628599998,13601.647391299999
2009-09-02,233.0,250.59999999999997,255.20000000000002,166.0,144.2,210.0,187.6,7.880898876404496,0.0,0.0,14.742696629213482,14.823033707865171,13071.365403099999,12204.9039976,13584.7700603
2009-12-01,307.4,483.8,293.4,87.8,154.79999999999998,4118.200000000001,166.20000000000002,7.691011235955058,0.0,0.0,5.070224719101123,5.786516853932584,13293.4130782,12677.8338438,12296.335169449998
2010-03-01,323.6,343.0,377.8,299.0,167.60000000000002,576.3999999999999,266.6,7.068539325842697,0.0,0.0,11.198314606741574,11.647752808988763,12122.795235399999,11814.236615000002,12430.653373950001
2010-05-30,95.00000000000001,111.8,214.8,83.2,54.6,103.2,80.8,6.643820224719102,0.0,0.0,21.452247191011235,21.870224719101124,10407.389887239999,10572.126920929999,13220.9036289
2010-08-28,394.2,409.6,435.8,362.4,250.0,984.1999999999998,234.2,6.701123595505618,0.0,0.0,14.42191011235955,14.83876404494382,10664.10511778,10625.77428559,12189.655299769998
2010-11-26,296.0,275.20000000000005,292.6,225.60000000000002,222.0,2684.4,258.20000000000005,6.465168539325842,0.0,0.0,5.86067415730337,6.314606741573034,9022.50349599,8890.09460565,11594.430590959999
2011-02-24,171.4,209.4,228.8,174.20000000000002,196.6,706.9999999999999,150.79999999999998,5.840449438202249,0.0,0.0,11.938764044943822,12.253932584269663,8589.788540130001,8410.13544192,11147.7684803
2011-05-25,132.8,114.19999999999999,167.60000000000002,143.0,124.4,118.4,118.6,6.895505617977527,0.0,0.0,21.14887640449438,21.303370786516854,11217.9300168,11343.173679900001,13360.800213300003
2011-08-23,144.2,222.40000000000003,149.2,99.8,157.6,198.8,91.19999999999999,7.414606741573033,0.0,0.0,17.080337078651688,16.590449438202246,12851.2878327,12193.454255999999,13435.6201612
2011-11-21,153.60000000000002,128.8,138.6,107.60000000000001,79.60000000000001,858.8,98.4,7.52808988764045,0.0,0.0,5.720786516853933,4.9949438202247185,12938.473412019997,12276.68541274,12315.96151924
2012-02-19,204.2,165.0,184.20000000000002,203.4,183.6,240.20000000000002,147.4,7.530337078651685,0.0,0.0,12.082584269662924,10.830337078651686,12663.11936825,12016.15329992,13119.997690600001
2012-05-19,65.2,57.8,94.0,62.2,60.199999999999996,106.39999999999999,37.99999999999999,7.626966292134832,0.0,0.0,22.080898876404493,21.40056179775281,12647.41189338,12403.52964219,13862.4022449
2012-08-17,442.40000000000003,451.4,569.6,416.4,451.59999999999997,447.6000000000001,499.4,8.160674157303372,0.0,0.0,17.749999999999996,17.834269662921347,13482.8705444,13123.131445100002,14231.898108000001
2012-11-15,309.0,272.20000000000005,348.59999999999997,272.2,287.00000000000006,8086.400000000001,261.2,7.812359550561796,0.0,0.0,5.9960674157303355,5.479775280898877,13677.8350288,12748.048625999998,12805.14063924
2013-02-13,208.8,300.6,258.0,224.60000000000002,233.4,1626.4,183.39999999999998,6.87752808988764,0.0,0.0,10.184831460674157,9.959550561797753,11296.622403110001,11051.77353591,11719.860716369998
2013-05-14,181.39999999999998,185.8,199.60000000000002,214.8,178.6,184.6,203.6,6.393258426966291,0.0,0.0,19.646067415730336,18.978651685393256,9411.57605048,9513.06596001,12899.611252800001
2013-08-12,421.40000000000003,393.2,364.0,381.4,264.59999999999997,452.0,482.4,6.506741573033708,0.0,0.0,18.28370786516854,18.463483146067414,9582.27020226,9705.606589669998,12904.987759499998
2013-11-10,312.59999999999997,390.4,385.2,289.4,303.2,2432.5999999999995,281.6,6.285393258426966,0.0,0.0,7.428651685393258,7.029775280898877,8219.76523303,8166.5517262799995,11497.35059606
2014-02-08,133.8,367.79999999999995,336.8,282.8,300.0,1776.6000000000001,240.79999999999998,5.219101123595506,0.0,0.0,14.841011235955058,10.798876404494383,7337.04700512,7285.487181919999,9220.485405939999
2014-05-09,206.0,206.99999999999997,235.8,232.2,1177.2,2261.4,186.8,4.946067415730337,0.0,0.0,4.828651685393258,19.17415730337079,7750.47445197,7426.7554156999995,9447.450862249
2014-08-07,143.0,193.6,172.0,205.6,774.6,3853.7999999999997,234.0,5.259550561797751,0.0,0.0,0.0,18.323595505617977,8278.306036619999,7789.486928249999,10083.98993132
2014-11-05,312.6,316.8,375.8,313.6,1392.1999999999998,6029.8,257.6,5.39438202247191,0.0,0.0,2.284269662921348,8.226966292134833,8383.59429013,8070.073255439999,8937.760231339998
2015-02-03,260.20000000000005,250.0,317.59999999999997,241.99999999999997,234.39999999999998,2291.0,221.4,5.348314606741572,0.0,0.0,9.302247191011237,9.205056179775282,6746.372268089999,6535.504635619999,9737.292330019998
2015-05-04,138.0,160.4,165.8,134.0,136.4,285.0,138.4,5.557303370786517,0.0,0.0,21.636516853932584,20.783146067415732,8791.045919440001,8787.07808628,12002.91271848
2015-08-02,282.6,263.40000000000003,572.4,270.4,315.0,251.4,395.19999999999993,5.975280898876405,0.0,2.316292134831461,18.470786516853934,18.941011235955056,9585.44103014,9235.32626554,13468.7279153
2015-10-31,114.19999999999999,93.8,134.79999999999998,120.19999999999997,110.4,1116.4,46.400000000000006,6.2696629213483135,0.0,9.454494382022471,8.48932584269663,7.712921348314606,8079.18708684,8134.3231811199985,12031.958975099997
2016-01-29,358.6,324.0,370.6,348.2,342.79999999999995,559.4000000000001,280.59999999999997,6.2438202247191015,0.0,10.735393258426967,10.184269662921348,9.797752808988763,9144.95171273,9087.50838945,9059.39172632
2016-04-28,174.8,158.39999999999998,268.8,196.60000000000002,154.0,174.79999999999998,216.59999999999997,6.860674157303371,0.0,19.575280898876404,18.52696629213483,18.632022471910112,11985.5738403,11578.1390368,10850.25875981
2016-07-27,251.60000000000002,245.0,339.79999999999995,261.0,175.6,281.8,255.39999999999998,7.559550561797752,0.0,20.296067415730338,18.957865168539325,18.242696629213484,10552.2065549,13272.324261800002,14695.542628
2016-10-25,237.40000000000003,256.0,296.40000000000003,243.4,181.4,696.4,162.0,7.792134831460674,0.0,8.254494382022473,7.564606741573034,4.948876404494382,15639.618020399997,13060.457334199999,6234.910820274999
2017-01-23,145.2,130.6,147.8,144.0,136.0,146.6,114.2,8.077528089887641,0.0,10.834269662921349,10.678651685393259,9.869101123595504,15834.7095816,12834.9568322,12868.02300013
2017-04-23,57.00000000000001,57.400000000000006,62.199999999999996,61.400000000000006,62.8,82.8,66.0,7.610112359550563,0.0,20.588764044943822,20.363483146067416,15.793258426966291,16923.0464971,19060.4090039,16528.5564958
2017-07-22,154.0,133.6,178.60000000000002,199.0,141.6,240.20000000000002,104.19999999999999,7.974157303370785,0.0,21.363483146067416,20.976404494382024,21.053370786516854,18178.782810499997,19309.152174500003,18712.6228039
2017-10-20,291.0,309.9999999999999,231.8,210.8,236.59999999999997,217.0,197.79999999999998,8.24269662921348,4.901123595505618,9.223595505617979,8.653932584269663,8.08876404494382,17489.244460799997,15589.3423799,18074.8323192
2018-01-18,432.2,364.0,459.40000000000003,371.0,317.2,419.2,319.2,8.077528089887641,8.226404494382022,7.691573033707865,7.4089887640449446,7.473033707865169,17307.475618100005,19882.3899507,17900.770334000004
2018-04-18,259.0,264.20000000000005,243.6,245.60000000000002,194.0,196.39999999999998,169.60000000000002,7.421348314606742,20.77640449438202,19.58202247191011,19.487078651685394,19.30112359550562,18858.4567989,18918.8889965,14156.7833447
2018-07-17,196.8,170.20000000000002,239.39999999999998,211.0,166.0,147.8,197.4,7.511235955056178,23.468539325842695,22.242134831460675,22.08033707865168,22.256179775280902,17529.5250062,16386.7316592,14871.1315207
2018-10-15,283.0,277.8,289.6,254.6,239.0,316.8,225.40000000000003,7.625842696629214,10.16685393258427,9.994382022471909,9.53258426966292,8.91011235955056,15009.0195956,15344.726945899998,12869.9088919
