,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
2015-03-20,54.89999999999999,9.955555555555556,280.74359964444443
2015-03-30,21.5,8.794444444444444,274.75215206666667
2015-04-09,0.6000000000000001,12.794444444444444,273.9350464111111
2015-04-19,16.4,13.577777777777778,274.1664599333333
2015-04-29,27.2,16.827777777777776,274.56117237777784
2015-05-09,17.7,17.63888888888889,274.7253652555556
2015-05-19,37.2,13.777777777777779,274.2324754444445
2015-05-29,18.9,19.33888888888889,273.69270484444445
2015-06-08,17.400000000000002,20.049999999999997,257.3368774111111
2015-06-18,65.8,18.211111111111112,268.42745802222225
2015-06-28,0.0,23.205555555555556,251.5769214666667
2015-07-08,1.8,25.150000000000002,259.7475401666667
2015-07-18,69.2,25.811111111111114,252.46500533333335
2015-07-28,9.6,24.96666666666667,246.7748411888889
2015-08-07,36.300000000000004,24.472222222222225,260.0704126555556
2015-08-17,26.099999999999998,19.611111111111114,254.46890216666665
2015-08-27,2.7,23.96666666666667,274.3467907888888
2015-09-06,6.2,18.26111111111111,263.9944601222222
2015-09-16,17.2,20.755555555555553,272.20119022222224
2015-09-26,24.3,14.816666666666666,238.55735074444445
2015-10-06,104.5,14.644444444444442,255.50279668888885
2015-10-16,30.8,12.138888888888891,259.4186084666667
2015-10-26,28.6,12.683333333333334,256.9072106111111
2015-11-05,0.0,13.43888888888889,235.3043785444444
2015-11-15,50.0,9.65,246.48001308888888
2015-11-25,10.0,6.9,267.2559401
2015-12-05,0.0,7.811111111111111,283.9335379777778
2015-12-15,0.0,7.516666666666666,281.92101354444446
2015-12-25,7.4,6.816666666666667,277.71763435555556
2016-01-04,60.99999999999999,7.572222222222223,257.9380374666667
2016-01-14,50.60000000000001,2.4,290.89527518888895
2016-01-24,16.8,7.2555555555555555,286.31509371111116
2016-02-03,30.6,6.194444444444444,276.8220032222223
2016-02-13,80.7,8.277777777777779,276.3864068888889
2016-02-23,99.7,8.294444444444444,270.02883342222225
2016-03-04,34.900000000000006,5.033333333333333,269.55446536666665
2016-03-14,9.2,8.916666666666664,257.11477542222224
2016-03-24,19.8,10.322222222222223,273.63812962222227
2016-04-03,15.4,14.394444444444446,243.6044365111111
2016-04-13,0.0,15.394444444444446,238.10046912222222
2016-04-23,85.9,10.061111111111112,272.24244367777777
2016-05-03,12.799999999999999,14.566666666666666,275.8298797888889
2016-05-13,85.69999999999999,12.444444444444445,276.35728431111113
2016-05-23,0.6,16.933333333333334,277.07199802222226
2016-06-02,46.0,16.733333333333334,276.7654924555556
2016-06-12,37.6,17.677777777777777,276.64590756666666
2016-06-22,9.6,22.572222222222223,276.9847452777778
2016-07-02,31.5,23.66111111111111,277.5048307444444
2016-07-12,0.6,21.233333333333334,283.1900826000001
2016-07-22,33.900000000000006,22.716666666666665,287.3153361111111
2016-08-01,24.599999999999998,22.049999999999997,292.7566082000001
2016-08-11,4.6000000000000005,20.82777777777778,295.08077421111113
2016-08-21,0.0,22.45,294.9287811777778
2016-08-31,50.800000000000004,20.04444444444444,294.1834256555556
2016-09-10,51.099999999999994,18.28333333333333,292.1538376111111
2016-09-20,5.6,16.377777777777776,294.9219664666667
2016-09-30,68.60000000000001,14.43888888888889,268.89208945555555
2016-10-10,29.0,14.277777777777779,292.00858939999995
2016-10-20,32.4,14.344444444444443,294.57392000000004
2016-10-30,66.60000000000001,12.083333333333334,295.6450815888889
2016-11-09,30.999999999999996,7.166666666666667,292.1740080555556
2016-11-19,53.5,11.833333333333334,296.6075439
2016-11-29,0.0,6.2444444444444445,296.6075439
2016-12-09,0.0,6.688888888888889,296.6075439
2016-12-19,7.0,7.916666666666667,296.6075439
2016-12-29,21.8,2.1055555555555556,296.6075439
2017-01-08,38.599999999999994,-0.055555555555555455,296.6075439
2017-01-18,13.6,4.8,296.6075439
2017-01-28,24.200000000000003,6.672222222222222,296.6075439
2017-02-07,7.6,7.222222222222222,296.6075439
2017-02-17,13.0,6.688888888888889,294.8810492777778
2017-02-27,64.5,8.41111111111111,289.1659751777778
2017-03-09,1.5999999999999999,9.144444444444444,286.8702465555556
2017-03-19,10.6,12.494444444444444,280.96131883333334
2017-03-29,46.49999999999999,12.227777777777778,286.12143607777784
2017-04-08,8.399999999999999,13.861111111111112,267.84752614444443
2017-04-18,4.4,8.705555555555556,285.8926405333333
2017-04-28,40.39999999999999,12.805555555555554,284.50894362222226
2017-05-08,76.0,15.600000000000001,283.08731875555554
2017-05-18,52.1,16.133333333333333,285.5937315333333
2017-05-28,0.0,19.47222222222222,286.73557396666666
2017-06-07,0.4,21.2,286.4697448777778
2017-06-17,34.8,22.038888888888888,290.1357698
2017-06-27,12.4,21.75,294.4236621333333
2017-07-07,55.4,25.227777777777778,295.10718774444445
2017-07-17,6.6,23.044444444444444,293.9225772111111
2017-07-27,0.2,26.538888888888888,293.30953018888897
2017-08-06,13.8,25.13888888888889,271.3521240333334
2017-08-16,0.0,24.08888888888889,235.38268140000002
2017-08-26,20.3,23.266666666666666,214.8610544111111
2017-09-05,200.20000000000002,18.116666666666664,209.63914597777776
2017-09-15,31.400000000000002,15.47777777777778,295.2913903666667
2017-09-25,15.3,15.61111111111111,279.98459785555553
2017-10-05,10.4,14.216666666666665,234.32287106666666
2017-10-15,8.6,15.561111111111112,208.40767541111111
2017-10-25,0.0,11.922222222222222,201.8246218888889
2017-11-04,72.89999999999998,10.155555555555555,209.55868033333334
2017-11-14,20.199999999999996,8.15,291.4369593
2017-11-24,90.5,5.8500000000000005,294.2059400666667
2017-12-04,69.2,4.788888888888889,288.83285462222227
2017-12-14,88.10000000000001,3.394444444444444,286.21621964444444
2017-12-24,126.7,5.227777777777778,285.9316619888889
2018-01-03,33.9,8.983333333333333,283.2253979777778
2018-01-13,38.199999999999996,5.699999999999999,283.5745359333334
2018-01-23,0.0,6.916666666666667,281.5437395555556
2018-02-02,140.8,4.972222222222222,284.0991155777778
2018-02-12,27.6,3.961111111111111,283.0213479444444
2018-02-22,87.4,2.6166666666666663,282.2026007333333
2018-03-04,131.40000000000003,7.683333333333334,260.12261480000006
2018-03-14,110.4,6.483333333333334,268.3993701888889
2018-03-24,22.0,7.555555555555555,227.05162371111112
2018-04-03,16.400000000000002,12.488888888888889,252.2846210888889
2018-04-13,19.0,15.372222222222222,276.9199793
2018-04-23,4.0,17.288888888888884,262.9913406444445
2018-05-03,91.4,14.005555555555555,270.6970857888889
2018-05-13,5.3999999999999995,14.16111111111111,274.84004228888887
2018-05-23,81.6,19.816666666666666,262.13147244444446
2018-06-02,27.5,20.072222222222223,254.03229588888885
2018-06-12,29.900000000000002,19.305555555555557,265.4900064888889
2018-06-22,2.8,17.91111111111111,273.5154712666667
2018-07-02,11.7,22.2,270.7157122777778
2018-07-12,17.0,23.355555555555558,275.0762104111111
2018-07-22,37.0,22.666666666666668,263.79094792222224
2018-08-01,18.4,23.91111111111111,275.56486142222224
2018-08-11,21.4,22.311111111111114,267.6829206
2018-08-21,14.5,21.2,286.7101559777778
2018-08-31,12.0,19.749999999999996,292.1403917
2018-09-10,50.8,21.327777777777776,291.2796416111111
2018-09-20,4.0,18.055555555555557,291.42501198888897
2018-09-30,47.400000000000006,16.31111111111111,290.8990514666667
2018-10-10,2.8,17.077777777777776,289.6446553
2018-10-20,232.6,13.944444444444446,288.5325129555556
2018-10-30,104.6,12.655555555555555,267.39825007777773
2018-11-09,0.0,11.538888888888888,265.33700992222225
2018-11-19,209.20000000000002,9.116666666666667,275.93313042222223
2018-11-29,3.6,8.272222222222222,275.02619948888895
2018-12-09,122.39999999999999,4.677777777777779,271.5260877222222
2018-12-19,2.2,6.372222222222223,265.72159924444446
2018-12-29,72.80000000000001,9.405555555555557,285.23030057777777
2019-01-08,62.2,13.11111111111111,276.50708385555555
2019-01-18,0.2,15.555555555555555,276.93893125555553
2019-01-28,51.2,12.022222222222222,273.1149730444444
2019-02-07,0.2,20.688888888888886,231.78454458888888
2019-02-17,62.400000000000006,16.072222222222223,228.5004643111111
2019-02-27,68.69999999999999,15.472222222222221,226.41861782222225
2019-03-09,29.7,12.555555555555555,237.73820301111112
2019-03-19,0.0,15.450000000000001,220.07027285555557
2019-03-29,23.0,16.38888888888889,216.74808152222224
2019-04-08,17.2,13.72777777777778,213.3452707555556
2019-04-18,24.9,12.738888888888887,209.33906293333337
2019-04-28,8.0,14.350000000000001,205.86932045555557
2019-05-08,243.10000000000002,16.65,202.1384711111111
2019-05-18,124.70000000000002,16.57777777777778,216.96086561111113
2019-05-28,21.0,12.066666666666666,233.7151871888889
2019-06-07,43.6,14.383333333333333,223.3302614
2019-06-17,0.0,16.533333333333335,228.23605413333337
2019-06-27,2.7,20.98888888888889,243.13647008888887
2019-07-07,59.8,14.13888888888889,280.32640782222217
2019-07-17,12.599999999999998,14.088888888888889,285.01797803333335
2019-07-27,28.8,11.011111111111111,279.9175162666667
2019-08-06,46.7,17.23888888888889,292.9694428
2019-08-16,25.6,17.21111111111111,291.9484657444445
2019-08-26,39.7,13.63888888888889,270.99871534444446
2019-09-05,13.5,14.83888888888889,295.1473843555556
2019-09-15,14.3,9.516666666666666,294.2738177666667
2019-09-25,30.499999999999996,13.944444444444443,279.67154387777776
2019-10-05,63.0,12.722222222222221,255.45390393333335
2019-10-15,14.6,15.32222222222222,232.4167385222222
2019-10-25,60.199999999999996,13.15,215.17224605555555
2019-11-04,33.0,11.694444444444443,224.37136816666668
2019-11-14,26.7,15.344444444444443,254.45063572222222
2019-11-24,13.200000000000001,18.650000000000002,230.1034608888889
2019-12-04,28.0,13.52222222222222,221.8980780888889
2019-12-14,44.4,14.355555555555558,222.46933453333335
2019-12-24,8.799999999999999,17.227777777777778,224.57601276666668
2020-01-03,17.8,11.68888888888889,223.66096336666664
2020-01-13,20.2,13.53888888888889,244.08342706666664
2020-01-23,42.6,16.91111111111111,222.36818913333335
2020-02-02,50.5,14.038888888888888,224.0409939
2020-02-12,32.7,14.811111111111112,222.56260584444445
2020-02-22,48.7,14.505555555555556,219.26025873333333
2020-03-03,4.0,14.977777777777776,224.6998030111111
2020-03-13,37.6,17.227777777777778,224.6004386222222
2020-03-23,22.7,18.56666666666667,224.5362722111111
2020-04-02,0.2,17.13888888888889,224.53355647777778
2020-04-12,41.1,16.55,224.64328954444443
2020-04-22,14.8,15.461111111111112,224.5971731444444
2020-05-02,25.5,14.555555555555555,224.72777064444446
2020-05-12,8.4,16.150000000000002,224.5296898555556
2020-05-22,11.2,12.916666666666666,224.0161745888889
2020-06-01,34.2,15.755555555555553,224.1135665888889
2020-06-11,56.9,13.36111111111111,224.38136665555555
2020-06-21,16.6,12.683333333333332,223.98612252222222
