ID,Name,Municipality,Province,Instrument,Units,Lat,Lng,Elevation
TOS11000114,Abbadia S. S. - Laghetto Verde,Abbadia S.S.,SI,anemometer,deg,42.8831027447861,11.6616225242615,910.0
TOS11000114,Abbadia S. S. - Laghetto Verde,Abbadia S.S.,SI,anemometer,m/s,42.8831027447861,11.6616225242615,910.0
TOS11000114,Abbadia S. S. - Laghetto Verde3,Abbadia S.S.,SI,anemometer,m/s,42.8831027447861,11.6616225242615,910.0
TOS11000114,Abbadia S. S. - Laghetto Verde,Abbadia S.S.,SI,hygrometer,%,42.8831027447861,11.6616225242615,910.0
TOS11000114,Abbadia S. S. - Laghetto Verde,Abbadia S.S.,SI,snow meter,m,42.8831027447861,11.6616225242615,910.0
TOS11000114,Abbadia S. S. - Laghetto Verde,Abbadia S.S.,SI,rain gauge,mm,42.8831027447861,11.6616225242615,910.0
TOS11000114,Abbadia S. S. - Laghetto Verde,Abbadia S.S.,SI,Crookes radiometer,W/mq,42.8831027447861,11.6616225242615,910.0
TOS11000114,Abbadia S. S. - Laghetto Verde,Abbadia S.S.,SI,thermometer,C,42.8831027447861,11.6616225242615,910.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,anemometer,deg,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,anemometer,m/s,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,anemometer,m/s,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,barometer,mB,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,hygrometer,%,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,snow meter,m,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,rain gauge,mm,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,Crookes radiometer,W/mq,42.8901,11.6252,1678.0
TOS11000115,Abbadia S. S. - Vetta Amiata,Abbadia S.S.,SI,thermometer,C,42.8901,11.6252,1678.0
TOS07000001,Abbadia S. Salvatore,Abbadia S. Salvatore,SI,rain gauge,mm,42.8943436457514,11.6693687438965,855.0
TOS07000001,Abbadia S. Salvatore,Abbadia S. Salvatore,SI,thermometer,C,42.8943436457514,11.6693687438965,855.0
TOS01000626,Bibbiena,Bibbiena,AR,rain gauge,mm,43.7141492697,11.8309493029,415.0
TOS01000626,Bibbiena,Bibbiena,AR,rain gauge,mm,43.7141492697,11.8309493029,415.0
TOS02004271,Borgo a Mozzano,Borgo a Mozzano,LU,stage,m,43.9798766944972,10.5515098571777,100.0
TOS02004271,Borgo a Mozzano,Borgo a Mozzano,LU,stage,m,43.9798766944972,10.5515098571777,100.0
