Station,GeologicalUnit,ItalianDescription,EnglishDescription,Period
Tereglio,MAC,"Arenarie quarzoso-feldspatico-micacee gradate, in strati di potenza variabile, con livelli piu' sottili di siltiti","Graded quartz-feldspar-micaceous sandstones, in layers of varying strength, with finer levels of siltstone",UPPER OLIGOCENE - LOWER MIOCENE
Vernio,TCG1,Torbiditi arenaceo pelitiche e silitico pelitiche. Sono presenti megatorbiditi,Pelitic arenaceous and pelitic silitic turbidites. There are mega-bids,AQUITANIANO p.p.
Orentano,VILa,Conglomerati e ciottolami poligenici,Polygenic conglomerates and pebbles,RUSCINIANO-VILLAFRANCHIANO
Simignano,CCA,Calcari dolomitici e dolomie grigie brecciati e con struttura a 'cellette' e dolomie  cariate (carniole),Dolomite limestones and gray dolomites brecciated and with 'cell' structure and carious dolomites (carniole),UPPER TRIASSIC
Abbadia S. S. - Laghetto Verde,QRT,Colate laviche clastogeniche e colate laviche a blocchi di composizione trachidacitica derivate dal collasso di un mega duomo endogeno,Clastogenic lava flows and block lava flows of trachydacytic composition derived from the collapse of an endogenous mega dome,PLEISTOCENE
David Lazzaretti,QRT,Colate laviche clastogeniche e colate laviche a blocchi di composizione trachidacitica derivate dal collasso di un mega duomo endogeno,Clastogenic lava flows and block lava flows of trachydacytic composition derived from the collapse of an endogenous mega dome,PLEISTOCENE
S. Fiora 11bis,QRT,Colate laviche clastogeniche e colate laviche a blocchi di composizione trachidacitica derivate dal collasso di un mega duomo endogeno,Clastogenic lava flows and block lava flows of trachydacytic composition derived from the collapse of an endogenous mega dome,PLEISTOCENE
S. Fiora 8,QRT,Colate laviche clastogeniche e colate laviche a blocchi di composizione trachidacitica derivate dal collasso di un mega duomo endogeno,Clastogenic lava flows and block lava flows of trachydacytic composition derived from the collapse of an endogenous mega dome,PLEISTOCENE
Castel del Piano1,QRT,Colate laviche clastogeniche e colate laviche a blocchi di composizione trachidacitica derivate dal collasso di un mega duomo endogeno,Clastogenic lava flows and block lava flows of trachydacytic composition derived from the collapse of an endogenous mega dome,PLEISTOCENE
Siena Poggio al Vento,PLIs,Sabbie e arenarie gialle.,Yellow sands and sandstones.,ZANCLEANO - PIACENZIANO
Monticiano La Pineta,VEUa,Metaconglomerati quarzosi con matrice quarzitico-filladica da grigio-verde a violacea. Gli elementi sono costituiti in prevalenza da quarzo rosato e quarziti bianche o rosate,Quartz metaconglomerates with quartzite-filladic matrix from gray-green to purplish. The elements consist mainly of pink quartz and white or pink quartzites,LADINICO - CARNICO
Stia,FAL3,membro arenaceo pelitico,pelitic arenaceous member,AQUITANIANO - BURDIGALIANO
