,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
2015-01-01,0.0,0.0,0.0,0.0,0.0,36.57,50.65,292.95,-2.3,-2.4,-2.25,0.34256666700000005,2.9175714289999997,5.906212279,23.51014568
2015-01-02,0.0,0.0,0.0,0.0,0.0,36.58,50.65,292.93,6.15,3.6,5.4,0.35229032299999996,2.960901235,5.906212279,23.51014568
2015-01-03,0.0,0.0,0.4,0.0,0.0,36.58,50.64,292.97,6.3,5.25,4.55,0.35077003100000004,2.9585493460000003,5.906212279,23.51014568
2015-01-04,0.0,0.0,0.0,0.0,0.0,36.58,50.64,293.03,7.9,5.45,7.25,0.35120595200000004,2.941488889,5.610901665,22.3346384
2015-01-05,0.0,0.0,0.4,0.0,0.0,36.58,50.52,293.0,4.05,3.3,2.9,0.35229032299999996,2.9585493460000003,5.906212279,23.51014568
2015-01-06,0.0,0.0,0.8,0.0,0.0,36.58,50.52,293.02,5.55,4.75,4.6,0.34071488,2.941488889,5.906212279,23.51014568
2015-01-07,0.0,0.0,0.2,0.0,0.0,36.59,50.53,293.0,5.65,4.45,3.65,0.353402706,2.960901235,5.906212279,23.51014568
2015-01-08,0.0,0.0,0.4,0.0,0.0,36.59,50.53,292.98,5.3,4.55,3.4,0.35229032299999996,2.9585493460000003,5.906212279,23.51014568
2015-01-09,0.0,0.0,0.0,0.0,0.0,36.59,50.53,293.0,6.3,5.5,4.35,0.35077003100000004,2.960901235,5.906212279,23.51014568
2015-01-10,0.0,0.0,0.0,0.0,0.0,36.59,50.53,293.07,6.95,5.95,5.2,0.354172737,2.9585493460000003,5.906212279,23.51014568
2015-01-11,0.0,0.0,0.0,0.0,0.0,36.59,50.52,293.12,7.45,7.3,7.95,0.354172737,2.941488889,5.610901665,22.3346384
2015-01-12,0.0,0.0,0.0,0.0,0.0,36.59,50.53,293.05,6.85,4.55,5.15,0.35229032299999996,2.960901235,5.906212279,23.51014568
2015-01-13,0.0,0.0,0.4,0.0,0.0,36.6,50.53,293.06,4.6,4.25,3.6,0.35229032299999996,2.9585493460000003,5.906212279,23.51014568
2015-01-14,0.0,0.0,0.0,0.0,0.0,36.59,50.53,293.12,6.35,5.2,4.3,0.35077003100000004,2.9585493460000003,5.906212279,23.51014568
2015-01-15,0.0,0.0,0.0,0.0,0.0,36.59,50.53,293.13,6.35,4.3,4.15,0.35229032299999996,2.9585493460000003,5.906212279,23.51014568
2015-01-16,0.0,0.0,0.6,0.0,0.0,36.59,50.53,293.16,7.1,6.85,6.25,0.35077003100000004,2.941488889,5.906212279,23.51014568
2015-01-17,0.0,0.2,0.2,1.0,1.2,36.59,50.53,293.19,6.35,6.8,5.4,0.34071488,2.9585493460000003,5.906212279,23.51014568
2015-01-18,0.0,0.0,1.0,0.0,0.6,36.59,50.53,293.19,4.1,4.5,2.8,0.348571429,2.941488889,5.610901665,22.3346384
2015-01-19,0.0,0.0,0.4,0.0,0.0,36.59,50.52,293.23,4.5,3.6,2.55,0.35229032299999996,2.9585493460000003,5.906212279,23.51014568
2015-01-20,0.0,0.2,0.0,2.6,1.8,36.58,50.52,293.25,4.1,4.65,3.45,0.35229032299999996,2.960901235,5.906212279,23.51014568
2015-01-21,0.0,0.8,1.2,2.6,4.4,36.58,50.52,293.24,4.45,4.85,3.75,0.348532778,2.960901235,5.906212279,23.51014568
2015-01-22,16.4,28.2,17.8,31.0,26.6,36.57,50.51,293.24,3.2,3.95,2.4,0.346097815,2.923354839,5.906212279,23.51014568
2015-01-23,0.6,3.4,0.2,3.4,9.4,36.58,50.51,293.27,3.6,3.9,3.0,0.348571429,2.941488889,5.906212279,23.51014568
2015-01-24,0.0,0.0,0.8,0.0,0.0,36.58,50.52,293.23,3.85,4.8,3.8,0.35077003100000004,2.960901235,5.906212279,23.51014568
2015-01-25,0.0,0.0,0.8,0.0,0.0,36.59,50.52,293.21,1.1,2.4,0.95,0.348571429,2.9252534110000004,5.610901665,22.3346384
2015-01-26,0.0,0.0,5.2,0.0,0.0,36.6,50.53,293.17,0.4,0.1,0.1,0.345559524,2.921933333,5.906212279,23.51014568
2015-01-27,0.0,0.0,3.2,0.0,0.0,36.6,50.53,293.2,0.65,-0.9,-0.3,0.346097815,2.921933333,5.906212279,23.51014568
2015-01-28,0.0,0.0,0.0,0.0,0.0,36.6,50.53,293.23,0.35,0.75,0.45,0.346097815,2.921933333,5.906212279,23.51014568
2015-01-29,0.0,0.0,0.0,0.0,0.0,36.59,50.53,293.29,1.5,0.95,0.5,0.348571429,2.941488889,5.906212279,23.51014568
2015-01-30,21.6,38.9,32.8,37.0,16.2,36.57,50.51,293.44,2.6,2.65,1.85,0.343561915,2.895993757,5.906212279,23.51014568
2015-01-31,9.0,0.0,6.8,16.2,1.4,36.57,50.51,293.39,3.15,2.2,1.55,0.348571429,2.941488889,5.906212279,23.51014568
2015-02-01,12.8,11.6,9.6,16.0,10.8,36.57,50.51,293.33,-0.45,-0.05,-0.4,0.36022892799999995,3.001194581,6.14579533,24.78507589
2015-02-02,5.2,5.8,3.0,3.8,0.0,36.57,50.51,293.25,0.0,0.5,-1.0,0.357609195,3.001194581,6.469258242,26.08955357
2015-02-03,2.4,7.2,0.0,0.2,0.0,36.58,50.52,293.24,0.15,0.35,-0.25,0.36022892799999995,2.960901235,6.469258242,26.08955357
