,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Incisa,Temperature_Firenze,Hydrometry_Nave_di_Rosano
1998-01-01,3.8,0.2,4.2,3.0,2.2,2.2,0.0,12.85,1.82
1998-01-02,0.6,0.0,0.6,0.0,0.2,0.0,6.6,23.25,1.94
1998-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,2.11
1998-01-04,0.0,0.0,0.4,0.4,0.2,0.0,0.0,12.55,1.84
1998-01-05,0.0,0.0,0.2,0.0,0.2,0.0,0.4,6.35,1.88
1998-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,1.79
1998-01-07,2.6,2.2,2.4,3.0,2.6,1.4,9.8,9.0,1.77
1998-01-08,0.6,0.0,0.4,0.0,0.2,0.0,1.6,18.0,1.83
1998-01-09,1.6,0.0,1.0,2.4,0.8,0.0,5.6,10.2,1.82
1998-01-10,2.0,0.4,1.0,2.2,0.2,1.0,2.6,9.0,1.63
1998-01-11,0.0,0.0,1.0,1.0,0.0,0.2,0.2,7.35,1.46
1998-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65,1.59
1998-01-13,0.4,0.0,0.0,3.6,0.2,2.0,0.0,15.9,1.68
1998-01-14,1.2,0.0,0.4,2.2,0.8,1.4,0.0,11.55,1.71
1998-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.79
1998-01-16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.0,1.81
1998-01-17,10.8,16.0,27.6,13.6,13.0,19.4,4.8,10.25,1.83
1998-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.5,1.63
1998-01-19,0.0,0.0,0.0,1.2,0.0,5.6,1.4,17.05,2.06
1998-01-20,0.4,0.2,0.2,0.2,0.4,0.0,2.2,16.55,3.04
1998-01-21,19.4,10.6,18.6,32.2,15.6,0.6,21.0,14.45,2.64
1998-01-22,0.2,0.0,0.0,0.0,0.2,0.0,0.0,8.05,2.23
1998-01-23,0.4,0.0,0.2,0.4,0.0,0.4,0.0,8.55,2.22
1998-01-24,5.6,1.0,1.4,4.4,3.4,3.2,0.0,22.5,1.72
1998-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,1.68
1998-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85,1.77
1998-01-27,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10.9,1.75
1998-01-28,7.8,3.0,6.8,12.4,6.0,5.6,16.0,14.6,1.75
1998-01-29,3.0,3.0,2.0,0.0,2.0,0.8,0.2,17.45,1.72
1998-01-30,9.4,7.6,9.4,12.2,4.4,10.8,11.2,9.75,1.68
1998-01-31,0.2,0.0,0.8,0.2,0.0,3.0,0.0,7.95,1.56
1998-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.2,13.05,1.45
1998-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.7,1.49
1998-02-03,1.4,1.4,1.8,2.2,1.2,0.0,4.8,13.95,1.66
1998-02-04,6.2,4.8,5.6,5.6,0.4,3.4,0.0,15.5,1.96
1998-02-05,3.0,2.2,0.6,0.2,0.0,2.0,4.2,8.4,2.06
