,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
2007-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,14.7,6.69,1.73,4.68,3.02,11.8,10.4,13.45,13.55,10853.93333,16859.09333,13160.80667,0.0,0.0,0.34,0.24
2007-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,6.71,1.76,4.65,3.19,12.05,10.5,12.4,13.15,10853.93333,16859.09333,13160.80667,0.0,0.0,0.36,0.36
2007-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,14.71,6.67,1.78,4.65,3.48,12.3,9.1,12.5,14.15,10311.23667,16016.138669999998,12502.76633,0.0,0.0,0.34,0.26
2007-04-09,0.0,0.0,0.0,0.2,0.0,0.0,0.6,1.0,0.0,0.4,14.72,6.62,1.86,4.59,3.07,13.15,10.4,12.5,14.5,10853.93333,16859.09333,13160.80667,0.0,0.0,0.33,0.23
2007-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.73,6.64,2.12,4.57,3.27,12.55,11.5,13.55,15.4,10853.93333,16859.09333,13160.80667,0.0,0.0,0.32,0.22
2007-04-11,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,14.72,6.72,1.78,4.61,3.08,12.6,14.1,14.8,15.7,10853.93333,16859.09333,13160.80667,0.0,0.0,0.29,0.22
2007-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72,6.76,1.79,4.64,3.17,15.5,15.65,16.7,18.05,10853.93333,16859.09333,13160.80667,0.0,0.0,0.29,0.23
2007-04-13,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.7,6.79,1.97,4.65,3.29,18.2,16.0,18.8,18.95,10853.93333,16859.09333,13160.80667,0.0,0.0,0.28,0.22
2007-04-14,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,14.69,6.81,2.04,4.67,3.28,19.7,16.25,18.35,20.05,10853.93333,16859.09333,13160.80667,0.0,0.0,0.28,0.22
2007-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.69,6.82,1.71,4.71,3.18,16.95,15.95,17.1,19.15,10311.23667,16016.138669999998,12502.76633,0.0,0.0,0.31,0.23
2007-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.68,6.74,1.98,4.71,3.28,16.85,16.65,18.8,18.8,10853.93333,16859.09333,13160.80667,0.0,0.0,0.28,0.22
2007-04-17,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,14.69,6.82,1.88,4.54,3.15,19.4,14.4,17.35,19.6,10853.93333,16859.09333,13160.80667,0.0,0.0,0.28,0.22
