,Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
2012-06-01,0.0,0.0,53.45,92.17,106.97,96.5,98.99,89.25,92.95,93.83,95.54,1275.88,2145.82,3536.1,2909.3,3430.4,2223.5,3123.9,2623.61,18.18,19.32
2012-06-02,0.0,0.0,53.58,92.18,107.03,96.5,98.99,89.25,92.95,93.83,95.55,868.61,2933.21,3025.94,3089.34,4143.28,1916.5,3007.01,2853.58,19.22,19.88
2012-06-03,0.0,0.0,53.72,92.19,106.99,96.51,99.0,89.25,92.95,93.84,95.57,875.27,3226.07,3604.5,3283.63,4033.01,2617.52,3090.02,3271.14,19.75,20.61
2012-06-04,1.2,12.8,53.72,92.21,106.99,96.52,99.0,89.27,92.96,93.85,95.57,0.36,3117.96,3537.94,3242.45,4719.53,2629.3,4195.69,3237.264,16.49,18.16
2012-06-05,0.0,0.0,53.72,92.24,106.99,96.53,99.0,89.28,92.97,93.86,95.57,1036.84,3528.5,3678.95,3574.33,4914.29,2777.22,3869.39,3388.14,17.25,19.76
2012-06-06,0.0,0.0,53.71,92.24,106.99,96.53,99.02,89.3,92.98,93.88,95.58,965.16,2278.73,2790.79,2628.76,3430.4,2113.74,87.05,2438.28,17.88,19.58
2012-06-07,0.0,0.0,53.71,92.24,106.99,96.53,99.02,89.3,92.98,93.89,95.6,1308.28,3472.2,3515.8,3631.25,5094.25,2653.884,3817.98,3239.17,19.34,20.87
2012-06-08,0.0,0.0,53.71,92.25,107.0,96.52,99.03,89.3,92.99,93.89,95.6,1180.44,1471.36,3851.39,3644.82,4755.56,2612.09,2811.71,3212.64,22.88,23.65
2012-06-09,0.4,0.0,54.27,92.25,107.03,96.52,99.03,89.31,93.0,93.89,95.67,723.6,3325.07,3713.04,3514.5,4914.29,2836.48,3869.39,3471.048,20.35,22.22
2012-06-10,0.0,0.0,54.32,92.26,107.05,96.52,99.03,89.32,93.01,93.91,95.69,1180.44,2957.4,3545.86,3247.24,4257.83,2648.12,3366.22,3478.64,19.17,20.79
2012-06-11,0.0,0.0,54.36,92.26,107.05,96.53,99.03,89.32,93.01,93.91,95.69,962.68,2922.3,2817.29,2934.86,4143.28,2239.56,2868.88,2623.61,19.58,20.81
2012-06-12,0.0,0.0,54.43,92.27,107.07,96.54,99.03,89.33,93.02,93.92,95.7,944.5,2747.66,3538.55,3006.4,4497.37,2255.08,1627.96,2675.16,18.91,20.47
2012-06-13,0.0,0.0,54.44,92.3,107.09,96.58,99.07,89.36,93.05,93.95,95.73,965.16,3180.82,3567.67,3433.03,4715.32,2681.78,3310.2,3218.62,16.76,18.41
2012-06-14,0.0,0.0,54.45,92.31,107.1,96.58,99.08,89.37,93.05,93.97,95.76,965.16,2732.47,3537.94,3571.7,4937.11,2696.69,3366.76,3180.56,17.53,19.65
2012-06-15,0.0,0.0,54.48,92.33,107.1,96.58,99.08,89.37,93.07,93.98,96.73,884.84,3450.38,3783.92,3296.16,4755.56,2759.04,4133.2,3456.04,20.77,22.61
2012-06-16,0.0,0.0,54.48,92.34,107.13,96.57,99.09,89.38,93.07,94.0,96.97,1283.0,3325.1,4113.83,3247.24,4033.01,2728.01,2933.21,3117.56,23.76,25.24
2012-06-17,0.0,0.0,54.48,92.34,107.15,96.55,99.09,89.38,93.09,94.0,96.97,1036.91,3553.02,3733.2,3509.89,4914.29,2808.14,3845.27,3387.78,25.15,26.48
2012-06-18,0.0,0.0,54.41,92.36,107.15,96.51,99.09,89.4,93.1,94.02,97.02,938.38,2544.01,3107.27,2668.9,4628.05,2177.5,2714.0,2970.5,25.75,27.0
2012-06-19,0.0,0.0,54.39,92.37,107.18,96.51,99.1,89.41,93.1,94.03,97.05,1344.82,2981.77,3748.72,3101.33,4033.01,2283.48,2868.88,2707.56,25.8,27.53
2012-06-20,0.0,0.0,54.39,92.37,107.19,96.51,99.1,89.41,93.1,94.03,97.08,861.05,3582.18,3644.14,3580.24,4720.75,2660.04,3619.62,3388.21,26.18,27.23
2012-06-21,0.0,0.0,54.39,92.38,107.19,96.52,99.1,89.42,93.11,94.04,97.1,868.61,2800.22,3210.98,2937.78,4143.28,2589.73,3123.9,2204.21,25.16,25.83
2012-06-22,0.0,0.0,54.39,92.4,107.21,96.68,99.11,89.44,93.13,94.06,97.17,933.55,2990.81,3553.81,3118.03,4033.01,2582.42,4141.26,3231.83,25.24,28.53
2012-06-23,0.0,0.0,54.4,92.4,107.22,96.68,99.12,89.44,93.14,94.07,97.17,1311.88,3587.9,3840.84,3581.24,5131.58,2837.05,4192.38,3211.92,25.44,27.69
2012-06-24,0.0,0.0,54.4,92.4,107.22,96.68,99.12,89.45,93.14,94.07,97.17,0.36,3565.8,3648.89,3891.56,4914.29,2764.98,3493.51,3292.56,24.19,26.58
2012-06-25,0.0,0.0,54.39,92.4,107.22,96.63,99.13,89.45,93.15,94.07,97.02,1311.88,3069.0,3609.29,3628.73,4909.75,2821.32,4203.18,3321.47,23.27,24.21
2012-06-26,0.0,0.0,52.17,92.42,107.23,96.57,99.13,89.45,93.15,94.07,96.73,1185.77,3831.7,3613.43,3608.5,4937.11,2877.12,3500.14,3222.4,23.65,25.45
2012-06-27,0.0,0.0,36.81,92.42,107.23,96.57,99.14,89.45,93.15,94.09,96.63,938.38,3587.9,3606.84,3441.67,4932.65,2819.09,3817.98,3063.53,24.92,26.5
2012-06-28,0.0,0.0,36.81,92.43,107.24,96.57,99.15,89.45,93.15,94.09,96.63,938.38,3534.48,3557.38,3603.64,5099.36,2645.75,3088.908,3444.52,25.1,26.77
2012-06-29,0.0,0.0,51.89,92.43,107.26,96.57,99.16,89.45,93.15,94.1,96.63,972.68,2933.21,3521.2,3118.03,3430.4,2379.53,3123.9,2619.58,24.94,26.05
2012-06-30,0.0,0.0,52.17,92.43,107.28,96.57,99.17,89.45,93.42,94.1,96.66,889.31,3150.54,3594.38,3631.25,4932.65,2704.36,3088.908,3235.14,26.07,27.71
2012-07-01,0.0,0.0,54.23,92.44,107.28,96.55,99.17,89.45,93.55,94.1,96.87,1048.28,3069.54,3464.53,3242.45,4497.37,2805.44,3088.908,3019.64,26.86,28.73
2012-07-02,0.0,0.0,54.42,92.44,107.28,96.55,99.17,90.95,93.04,94.11,96.98,687.24,3531.06,3641.08,3453.77,5121.0,2837.12,4195.94,3324.49,25.77,27.41
2012-07-03,0.0,0.0,54.44,92.45,107.29,96.55,99.18,90.95,93.1,94.11,97.05,1185.77,2323.368,4257.11,3191.69,4759.42,2673.83,2459.7,3231.83,22.8,24.59
2012-07-04,0.0,0.0,54.52,92.45,107.31,96.58,99.18,90.96,93.02,94.13,97.1,972.68,29.77,3042.76,2671.88,4414.54,1446.34,2996.6,2486.88,22.08,23.85
2012-07-05,0.2,0.0,54.44,92.48,107.34,96.59,99.19,90.96,93.23,94.15,97.1,1060.81,3531.06,3695.83,3878.86,4720.75,2739.53,3088.908,3437.24,22.45,24.18
2012-07-06,0.2,0.0,54.53,92.48,107.35,96.62,99.21,90.96,93.23,94.17,97.17,886.21,2767.64,3567.89,3340.73,4755.56,2677.64,2459.7,3073.57,22.44,24.22
2012-07-07,0.0,0.0,54.55,92.49,107.35,96.64,99.22,90.96,93.23,94.17,97.18,1051.74,3604.86,3613.43,3640.14,5126.65,2793.31,4195.94,3425.62,23.38,25.36
2012-07-08,0.0,0.0,54.6,92.51,107.36,96.64,99.22,90.98,93.25,94.19,97.2,731.34,3500.39,3678.95,3554.14,5101.74,2842.09,3807.5,3200.15,24.97,26.36
2012-07-09,0.0,0.0,54.65,92.51,107.39,96.66,99.22,90.98,93.26,94.04,97.23,1011.46,3175.13,3644.14,3648.38,4914.29,2863.48,4039.42,3369.02,25.75,26.81
2012-07-10,0.0,0.0,54.65,92.54,107.4,96.76,99.24,90.77,93.27,94.09,97.23,889.31,3443.87,3741.05,3631.25,4930.81,2765.56,3607.67,3493.76,25.33,26.82
2012-07-11,0.0,0.0,54.6,92.54,107.4,96.76,99.24,90.96,93.28,94.04,97.23,393.59,2990.81,4257.11,3603.64,5099.36,2744.17,4024.87,3529.33,24.64,26.05
2012-07-12,0.0,0.0,54.6,92.55,107.43,96.76,99.25,90.52,93.29,94.07,97.23,1185.77,3604.86,3678.95,3481.31,4754.88,2557.37,3845.27,3347.71,23.91,25.14
2012-07-13,0.0,0.0,54.73,92.56,107.43,96.69,99.25,90.77,93.3,94.17,97.36,731.34,3140.46,3575.52,3572.03,4713.16,2805.44,3619.62,3440.74,23.0,23.93
2012-07-14,0.0,0.0,54.73,92.56,107.44,96.69,99.26,90.77,93.3,94.09,97.36,1135.69,3844.76,3924.4,3595.97,5135.65,2819.09,4024.87,3434.58,25.06,26.18
2012-07-15,0.0,0.0,54.73,92.58,107.45,96.69,99.27,90.77,93.3,94.19,97.36,1275.88,3096.828,3608.24,3595.97,5107.9,2710.12,3528.0,3387.78,24.34,25.18
2012-07-16,0.0,0.0,54.76,92.59,107.45,96.7,99.27,90.52,93.32,94.07,97.36,868.61,3587.47,3557.38,3573.4,5099.36,2760.73,3607.67,3496.03,22.49,24.77
2012-07-17,0.0,0.0,55.07,92.6,107.46,96.7,99.29,90.86,93.32,94.45,97.35,353.88,0.0,2748.1,2343.46,5043.53,1674.72,1667.12,1810.4,23.1,24.81
2012-07-18,0.0,0.0,55.09,92.6,107.46,96.7,99.3,90.77,93.33,94.09,97.35,142.2,3472.2,3804.84,3400.38,5145.62,2886.95,3528.0,3460.97,24.08,25.88
2012-07-19,0.0,0.0,54.76,92.6,107.48,96.69,99.31,90.86,93.33,94.16,97.08,1180.44,3180.82,4113.83,3595.97,4931.21,2796.08,3493.51,3420.4,25.08,26.9
2012-07-20,0.0,0.0,54.99,92.61,107.49,96.69,99.31,90.36,93.34,94.04,97.24,997.74,3534.48,3675.67,3453.77,5116.68,2799.25,4039.42,3434.65,24.51,26.19
2012-07-21,0.0,0.0,54.99,92.61,107.5,96.69,99.32,90.77,93.35,94.26,97.24,868.61,2456.35,2923.09,2538.54,4387.21,1114.16,2569.75,2534.87,23.97,25.26
2012-07-22,0.0,0.0,34.7,92.61,107.5,96.7,99.32,91.06,93.35,94.09,96.88,806.98,3175.13,3626.57,3607.56,5107.9,2739.67,3528.0,3496.03,22.12,23.78
2012-07-23,7.0,12.0,34.7,92.61,107.5,96.78,99.32,91.0,93.35,94.38,96.88,1277.5,3592.94,3924.4,3454.02,5099.36,2768.8,3528.0,3375.68,19.02,21.12
2012-07-24,3.0,8.2,33.34,92.61,107.45,96.78,99.33,91.03,93.32,94.32,96.55,1229.26,2933.21,3053.81,3101.33,4276.3,2627.24,2298.13,2983.18,19.7,21.29
2012-07-25,0.0,0.2,33.34,92.61,107.45,96.78,99.33,91.0,93.32,94.37,96.55,401.47,2802.17,3319.45,3631.25,4932.47,2766.78,3869.39,3237.264,21.18,22.66
2012-07-26,0.0,0.0,33.46,92.61,107.45,96.79,99.33,91.08,93.32,94.57,96.8,852.23,2299.14,3110.0,2780.78,4387.21,1940.83,1970.57,2431.15,23.07,25.07
2012-07-27,0.0,0.0,39.55,92.62,107.48,96.81,99.34,91.0,93.32,94.3,96.99,913.82,3172.57,3706.96,3454.02,5121.0,2808.14,3426.59,3318.44,26.13,27.35
2012-07-28,0.0,0.0,39.55,92.62,107.5,96.83,99.34,91.0,93.32,94.3,96.99,657.68,1953.4,2812.3559999999998,2237.9,4007.88,1787.11,1982.95,2486.88,27.63,27.78
2012-07-29,0.0,0.0,55.32,92.64,107.51,96.83,99.34,91.0,93.34,94.3,97.08,1305.18,3328.52,3760.63,3451.1,5116.68,2763.07,3817.98,3425.87,26.39,26.77
2012-07-30,0.0,0.0,55.77,92.66,107.52,96.88,99.34,91.0,93.34,94.31,97.41,437.15,2148.37,3035.48,2624.4,4285.01,2079.18,2996.6,2693.41,26.25,28.75
2012-07-31,0.0,0.0,55.93,92.67,107.53,96.83,99.36,91.01,93.37,94.32,97.54,986.9,2788.74,3332.34,2981.92,4497.37,2271.456,2998.48,2542.0,26.05,28.65
2012-08-01,0.0,0.0,56.07,92.7,107.57,96.81,99.37,91.03,93.39,94.36,97.63,550.62,3223.22,3804.7,3176.35,4715.32,2728.94,3142.69,3147.95,26.01,27.27
2012-08-02,0.0,0.0,56.13,92.71,107.59,96.8,99.39,91.05,93.4,94.38,97.63,393.59,3549.42,3775.46,3560.33,5113.94,2862.58,3426.59,3440.56,25.35,26.6
2012-08-03,0.0,0.0,56.22,92.72,107.59,96.8,99.39,91.06,93.41,94.38,97.7,977.98,3535.99,3733.2,3452.26,5145.3,2557.37,3817.98,3405.71,25.03,25.99
2012-08-04,0.0,0.0,56.22,92.72,107.59,96.79,99.4,91.06,93.42,94.39,97.7,972.68,3589.92,3785.62,3634.13,5089.5,2856.64,4192.38,3425.62,26.16,26.48
2012-08-05,0.0,0.0,56.22,92.73,107.6,96.79,99.41,91.07,93.43,94.39,97.52,951.3,3212.5,3701.52,3514.5,5106.53,2822.29,3528.0,3493.48,26.48,27.01
2012-08-06,0.0,0.0,56.4,92.74,107.61,96.79,99.43,91.07,93.45,94.41,97.52,972.68,3591.97,3745.84,3544.49,4882.68,2861.17,4195.94,3376.04,28.35,28.88
2012-08-07,0.0,0.0,56.4,92.75,107.64,96.79,99.43,91.07,93.45,94.42,97.52,1051.74,3099.71,3924.4,3300.73,4720.75,2769.91,3267.76,3459.46,27.65,30.52
2012-08-08,0.0,0.0,55.71,92.75,107.65,96.79,99.45,91.09,93.47,94.44,97.41,1071.94,2710.66,3169.33,3089.34,4033.01,2026.12,2718.32,2790.0,25.16,27.49
2012-08-09,0.0,0.0,49.16,92.76,107.66,96.81,99.45,91.1,93.47,94.44,97.39,1010.59,3531.06,3774.46,3433.03,5131.58,2684.4120000000003,3423.78,3405.71,25.74,27.34
2012-08-10,0.0,0.2,49.16,92.76,107.67,96.85,99.45,91.1,93.48,94.45,97.39,918.61,3117.02,3606.48,3303.36,4713.16,2690.28,3366.76,3186.5,25.16,26.34
2012-08-11,0.0,0.0,49.16,92.77,107.67,96.86,99.45,91.11,93.48,94.45,97.39,393.59,3117.02,3301.27,3570.16,4754.88,2698.56,3869.39,3460.25,23.48,25.37
2012-08-12,0.0,0.0,49.16,92.78,107.7,96.87,99.47,91.13,93.49,94.47,97.55,986.9,2760.26,3588.52,3400.85,5131.76,2956.1,3532.03,3238.2,23.34,24.71
2012-08-13,0.0,1.0,49.16,92.79,107.7,96.87,99.47,91.13,93.51,94.48,97.58,997.74,3542.36,3719.27,3648.38,5098.1,2807.96,4129.88,3426.84,23.29,24.62
2012-08-14,0.0,0.0,43.24,92.8,107.71,96.89,99.48,91.15,93.51,94.49,97.58,1284.88,3531.06,3952.62,3607.56,5585.47,2738.7,4129.88,3459.74,23.36,25.29
2012-08-15,0.0,0.0,33.96,92.82,107.71,96.89,99.49,91.16,93.51,94.49,97.58,879.88,3217.57,3495.35,3891.56,5397.3,2684.4120000000003,3985.16,3405.71,23.93,26.25
2012-08-16,0.0,0.0,33.36,92.83,107.73,96.89,99.5,91.17,93.52,94.51,97.21,462.78,3561.48,3785.62,3575.52,5704.09,2772.29,3539.02,3406.61,23.89,25.34
2012-08-17,0.0,0.0,33.36,92.85,107.74,96.9,99.5,91.19,93.52,94.51,97.2,972.68,3604.86,3606.84,3888.36,6024.24,2846.05,3814.06,3405.71,25.99,27.79
2012-08-18,0.0,0.0,33.32,92.86,107.76,96.92,99.51,91.19,93.54,94.53,97.2,504.97,3531.06,3643.78,3377.38,6024.24,2731.64,3478.72,3399.3,26.66,28.09
2012-08-19,0.0,0.0,33.29,92.86,107.76,96.92,99.53,91.2,93.54,94.54,97.2,0.0,29.77,2717.86,2550.31,3430.4,1702.01,3460.25,2466.22,26.57,27.57
2012-08-20,0.0,0.0,33.28,92.87,107.77,96.92,99.53,91.21,93.55,94.55,97.22,132.59,1937.84,2029.72,1933.99,4375.55,1150.45,2271.96,2053.22,26.37,27.52
2012-08-21,0.0,0.0,33.28,92.88,107.77,96.91,99.54,91.22,93.55,94.56,97.22,550.62,3180.96,3625.85,3603.64,6011.68,2812.43,3575.09,3230.71,26.65,27.52
2012-08-22,0.0,0.0,33.27,92.89,107.78,96.91,99.55,91.23,93.55,94.57,97.25,809.14,2647.33,3528.36,2553.3,5595.59,2380.0,2686.25,2610.04,26.58,27.58
2012-08-23,0.0,0.0,33.27,92.9,107.8,96.91,99.55,91.23,93.56,94.57,97.26,6.62,3577.64,3533.0,3300.73,5697.36,2613.92,3807.5,2905.13,26.86,27.79
2012-08-24,0.0,0.0,33.27,92.9,107.82,97.03,99.55,91.24,93.57,94.58,97.27,892.22,2637.5,2835.32,2671.88,5107.43,2355.41,1932.91,2394.36,25.41,26.3
2012-08-25,0.0,0.0,33.42,92.91,107.82,97.03,99.56,91.25,93.58,94.6,97.39,1215.79,3407.83,3626.57,3589.2,6047.39,2842.27,3860.06,3385.98,24.79,25.42
2012-08-26,0.2,0.2,33.44,92.91,107.84,97.03,99.58,91.26,93.58,94.6,97.39,0.0,3096.07,3486.35,3891.56,6011.68,2862.58,4144.0,3504.2,23.2,24.77
2012-08-27,0.0,0.0,33.44,92.93,107.85,97.03,99.58,91.28,93.59,94.62,97.39,1385.32,3521.05,3546.65,3607.56,5925.89,2763.36,3461.87,3496.72,23.89,25.8
2012-08-28,0.0,0.0,33.44,92.95,107.85,96.99,99.6,91.29,93.6,94.63,97.3,60.59,1942.92,2534.8,2123.028,2786.08,1603.12,2387.05,2032.56,22.53,24.33
2012-08-29,0.0,0.0,33.44,92.95,107.86,96.99,99.61,91.3,93.61,94.64,97.28,90.4,29.77,3160.58,2500.09,4931.21,2266.85,3123.9,2515.21,23.43,25.21
2012-08-30,0.0,0.0,33.4,92.95,107.87,97.05,99.61,91.3,93.61,94.64,97.11,1223.78,2839.28,3586.9,2909.3,5097.67,2405.92,3199.97,2643.23,23.89,24.92
2012-08-31,11.0,16.8,33.39,92.95,107.88,97.22,99.63,91.3,93.62,94.65,97.1,437.15,3592.94,3516.62,3433.03,5397.3,2663.75,3461.87,3442.82,21.16,22.17
2012-09-01,0.0,0.0,33.39,92.95,107.88,97.22,99.63,91.3,93.63,94.66,97.07,297.29,3221.89,3608.03,3433.03,5704.09,2810.92,4022.06,3436.13,17.11,18.97
2012-09-02,4.2,6.2,33.38,92.94,107.88,97.22,99.64,91.3,93.63,94.66,97.02,0.36,3563.17,3644.14,3878.86,6024.24,2839.64,3229.2,3554.68,17.83,20.72
2012-09-03,13.0,25.4,33.37,92.93,107.87,97.02,99.64,91.29,93.62,94.66,96.99,348.19,2563.52,2939.94,2677.46,4760.82,2729.77,3541.64,3031.31,18.2,19.93
