,Rainfall_Simignano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
2008-02-21,0.0,0.0,0.2,0.0,0.0,5.4,2.0,8.6,0.0,0.0,8.7,7.9,156.4352466,189.34344219999997,165.024
2008-02-22,0.0,0.2,0.2,0.0,0.0,3.6,0.2,8.6,0.0,0.0,9.35,7.0,163.35354009999998,134.57240819999998,158.8276545
2008-02-23,0.2,0.0,0.0,0.0,0.0,3.8,0.2,8.6,0.0,0.0,8.6,6.8,156.4352466,148.8741228,136.9282664
2008-02-24,0.2,0.4,0.2,0.0,0.0,0.0,0.0,8.6,0.0,0.0,9.85,9.4,163.35354009999998,139.3917003,158.8276545
2008-02-25,0.0,0.2,0.6,0.0,0.0,0.0,0.0,8.6,0.0,0.0,9.55,7.15,156.4352466,137.7356254,156.47813190000002
2008-02-26,0.0,0.2,0.0,0.4,0.6,0.2,0.0,8.6,0.0,0.0,9.3,8.3,163.5450612,137.7356254,168.40704
2008-02-27,3.4,4.8,0.6,1.8,0.2,0.0,1.8,8.6,0.0,0.0,9.85,11.3,156.4352466,134.57240819999998,153.05486100000002
2008-02-28,0.0,2.2,0.0,0.0,0.0,0.6,0.0,8.6,0.0,0.0,11.6,13.15,163.35354009999998,137.7356254,156.75621230000002
2008-02-29,0.0,0.0,0.0,0.0,0.0,0.2,0.2,8.6,0.0,0.0,9.9,12.4,163.35354009999998,171.9431925,129.8841041
2008-03-01,0.0,0.0,0.2,0.0,0.0,66.2,0.0,8.6,0.0,0.0,10.5,10.3,155.36780819999998,134.57240819999998,145.845891
2008-03-02,0.2,0.2,0.0,0.0,0.0,0.2,0.0,8.6,0.0,0.0,12.05,10.55,170.29152,154.1759001,145.845891
2008-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.6,0.0,0.0,12.2,11.95,179.7569532,148.8741228,158.8276545
2008-03-04,0.0,0.0,0.2,0.0,0.2,0.6,0.4,8.6,0.0,0.0,8.75,9.35,163.5450612,137.7356254,164.92608
2008-03-05,5.6,3.8,2.6,3.4,0.6,0.0,1.2,8.6,0.0,0.0,2.9,5.95,170.29152,180.5939813,189.1344
2008-03-06,1.0,2.8,3.0,5.6,20.6,0.4,1.2,8.7,0.0,0.0,2.7,4.5,163.5450612,139.3917003,156.47813190000002
2008-03-07,8.8,19.8,13.6,7.6,0.0,1.6,8.6,8.7,0.0,0.0,1.55,3.55,170.29152,180.5939813,184.8439892
2008-03-08,12.4,0.2,0.6,0.0,0.0,20.4,0.6,8.7,0.0,0.0,5.05,6.8,158.1444993,154.1759001,153.05486100000002
2008-03-09,0.4,2.4,0.8,0.0,0.0,9.0,0.0,8.7,0.0,0.0,7.1,7.35,156.4352466,171.9431925,154.51776
2008-03-10,4.2,7.0,9.0,5.8,13.2,9.0,8.0,8.6,0.0,0.0,8.25,9.1,163.5450612,154.1759001,156.75621230000002
2008-03-11,7.6,1.4,1.6,1.0,3.0,7.6,0.0,8.6,0.0,0.0,8.85,10.35,134.699488,137.7356254,154.51776
2008-03-12,0.2,0.0,0.0,0.0,0.0,0.6,0.0,8.6,0.0,0.0,11.55,12.75,156.4352466,148.8741228,151.74912
2008-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.7,0.0,0.0,12.35,12.2,161.776944,171.9431925,156.3675624
2008-03-14,0.0,0.2,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,11.2,10.0,163.5450612,139.3917003,162.8592
2008-03-15,0.2,0.0,0.0,0.0,0.0,14.4,0.0,8.7,0.0,0.0,11.0,12.7,155.1858631,131.8818231,136.9282664
