,Rainfall_Terni,Flow_Rate_Lupa
2009-02-19,2.763,166.02
2009-02-20,2.763,166.97
2009-02-21,2.763,167.72
2009-02-22,2.763,168.65
2009-02-23,2.763,169.42
2009-02-24,2.763,170.21
2009-02-25,2.763,171.1
2009-02-26,2.763,171.69
2009-02-27,2.763,172.07
2009-02-28,2.763,172.33
2009-03-01,2.076,172.68
2009-03-02,2.076,172.88
2009-03-03,2.076,173.15
2009-03-04,2.076,173.55
2009-03-05,2.076,173.83
2009-03-06,2.076,175.7
2009-03-07,2.076,176.86
2009-03-08,2.076,177.86
2009-03-09,2.076,178.9
2009-03-10,2.076,180.08
2009-03-11,2.076,180.45
2009-03-12,2.076,181.34
2009-03-13,2.076,181.77
2009-03-14,2.076,181.71
2009-03-15,2.076,181.83
2009-03-16,2.076,181.8
2009-03-17,2.076,181.9
2009-03-18,2.076,181.86
2009-03-19,2.076,182.02
2009-03-20,2.076,182.14
2009-03-21,2.076,182.31
2009-03-22,2.076,182.13
2009-03-23,2.076,182.04
2009-03-24,2.076,182.0
2009-03-25,2.076,182.03
2009-03-26,2.076,181.87
2009-03-27,2.076,181.64
2009-03-28,2.076,181.4
2009-03-29,2.076,180.9
2009-03-30,2.076,180.61
2009-03-31,2.076,180.42
2009-04-01,2.79,180.18
2009-04-02,2.79,179.95
2009-04-03,2.79,179.92
2009-04-04,2.79,179.89
2009-04-05,2.79,179.94
2009-04-06,2.79,180.3
2009-04-07,2.79,180.43
2009-04-08,2.79,180.45
2009-04-09,2.79,180.46
2009-04-10,2.79,180.43
2009-04-11,2.79,179.89
2009-04-12,2.79,180.43
2009-04-13,2.79,180.43
2009-04-14,2.79,180.3
2009-04-15,2.79,180.18
2009-04-16,2.79,180.18
2009-04-17,2.79,179.94
2009-04-18,2.79,179.89
2009-04-19,2.79,179.94
2009-04-20,2.79,180.43
2009-04-21,2.79,179.94
2009-04-22,2.79,179.94
2009-04-23,2.79,180.3
2009-04-24,2.79,180.43
2009-04-25,2.79,180.18
2009-04-26,2.79,179.94
2009-04-27,2.79,180.18
2009-04-28,2.79,180.43
2009-04-29,2.79,179.94
2009-04-30,2.79,180.43
2009-05-01,1.139,107.97
2009-05-02,1.139,156.32
2009-05-03,1.139,107.96
2009-05-04,1.139,156.32
2009-05-05,1.139,107.97
2009-05-06,1.139,107.97
2009-05-07,1.139,107.99
2009-05-08,1.139,107.97
2009-05-09,1.139,107.96
2009-05-10,1.139,107.99
2009-05-11,1.139,107.97
2009-05-12,1.139,156.32
2009-05-13,1.139,156.32
2009-05-14,1.139,107.96
2009-05-15,1.139,107.99
2009-05-16,1.139,107.96
2009-05-17,1.139,107.97
2009-05-18,1.139,107.97
2009-05-19,1.139,156.32
2009-05-20,1.139,107.99
2009-05-21,1.139,107.98
2009-05-22,1.139,107.97
2009-05-23,1.139,107.96
2009-05-24,1.139,107.98
2009-05-25,1.139,107.97
2009-05-26,1.139,107.96
2009-05-27,1.139,156.32
2009-05-28,1.139,107.99
2009-05-29,1.139,107.97
2009-05-30,1.139,157.37
2009-05-31,1.139,156.32
2009-06-01,3.062,156.61
2009-06-02,3.062,156.68
2009-06-03,3.062,156.36
2009-06-04,3.062,155.79
2009-06-05,3.062,155.1
2009-06-06,3.062,154.31
2009-06-07,3.062,153.18
2009-06-08,3.062,152.38
2009-06-09,3.062,151.77
2009-06-10,3.062,150.98
2009-06-11,3.062,150.15
2009-06-12,3.062,149.33
2009-06-13,3.062,148.52
