,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
2015-03-13,0.0,5.7,255.956525
2015-03-14,5.8,7.1,289.54556139999994
2015-03-15,7.4,4.9,289.9186152
2015-03-16,8.6,7.5,290.08289560000003
2015-03-17,7.6,7.55,290.68877660000004
2015-03-18,0.0,8.4,285.417723
2015-03-19,0.0,9.75,282.2443597
2015-03-20,0.0,8.7,283.4899183
2015-03-21,0.0,7.95,283.9203937
2015-03-22,0.8,6.55,284.3272472
2015-03-23,0.0,9.15,284.5879713
2015-03-24,0.0,12.15,284.16886989999995
2015-03-25,37.3,10.25,282.4008892
2015-03-26,6.0,13.35,275.9375031
2015-03-27,10.8,12.0,273.9198491
2015-03-28,0.0,9.5,273.939755
2015-03-29,0.0,9.6,273.6624202
2015-03-30,0.0,10.6,278.0547162
2015-03-31,0.0,13.35,276.8946238
2015-04-01,0.0,12.05,275.05476860000005
2015-04-02,0.0,11.0,273.9272583
2015-04-03,0.0,9.45,273.877707
2015-04-04,12.3,7.65,273.92275750000005
2015-04-05,9.2,5.85,273.55611749999997
2015-04-06,0.0,5.3,273.8512721
2015-04-07,0.0,3.9,273.63014760000004
2015-04-08,0.0,5.8,273.40322630000003
2015-04-09,0.0,9.35,261.8903418
2015-04-10,0.0,10.8,277.0050769
2015-04-11,0.0,10.45,276.7164202
2015-04-12,0.0,11.7,276.891222
2015-04-13,0.0,13.75,276.88467169999996
2015-04-14,0.4,14.6,274.95283739999996
2015-04-15,0.0,15.25,273.6325181
2015-04-16,0.0,14.9,273.62845110000006
2015-04-17,0.2,14.35,273.8138785
2015-04-18,0.0,12.8,273.90091
2015-04-19,1.4,13.25,274.1168694
2015-04-20,0.2,11.8,274.1432099
2015-04-21,0.0,12.5,273.99298369999997
2015-04-22,0.0,14.6,274.14907569999997
2015-04-23,0.0,14.1,274.2687412
2015-04-24,0.2,14.9,274.1271984
2015-04-25,0.6,14.15,274.2048533
2015-04-26,0.0,14.95,274.23857410000005
2015-04-27,14.0,11.95,274.2566337
2015-04-28,8.2,10.2,274.1222673
2015-04-29,8.2,12.1,274.3879241
2015-04-30,18.8,11.4,274.44740210000003
2015-05-01,0.0,12.4,274.5162938
2015-05-02,0.0,14.5,274.5120852
2015-05-03,0.0,15.7,274.56413369999996
2015-05-04,0.0,19.6,274.6890818
2015-05-05,0.0,21.8,274.68113910000005
2015-05-06,0.2,22.85,274.6076082
2015-05-07,0.0,21.1,274.64488339999997
2015-05-08,0.0,18.9,274.7271288
2015-05-09,8.5,17.55,274.73954399999997
2015-05-10,0.0,17.6,274.8317938
2015-05-11,0.0,17.6,274.695843
2015-05-12,0.0,17.2,274.8093921
2015-05-13,0.0,18.35,274.7552104
2015-05-14,0.0,17.45,274.8586989
2015-05-15,0.0,17.3,274.7366045
2015-05-16,9.2,15.5,274.57489019999997
2015-05-17,0.0,20.2,274.5263104
2015-05-18,0.0,20.75,274.6188995
2015-05-19,0.0,19.9,275.1666475
2015-05-20,0.0,18.3,274.3945231
2015-05-21,5.0,12.0,274.4671458
2015-05-22,2.8,11.7,274.34211560000006
2015-05-23,1.8,10.85,274.1636538
2015-05-24,2.0,11.3,274.0833288
2015-05-25,0.0,12.9,273.9533986
2015-05-26,16.8,13.85,273.79922860000005
2015-05-27,8.8,13.2,273.7222372
2015-05-28,0.2,13.1,273.86665739999995
2015-05-29,0.0,14.95,273.6717064
2015-05-30,0.0,17.05,273.6753212
2015-05-31,13.3,17.65,273.7554743
2015-06-01,2.2,18.45,273.6683519
2015-06-02,3.4,19.05,273.6685172
2015-06-03,0.0,20.55,273.6884255
2015-06-04,0.0,21.7,273.6998817
2015-06-05,0.0,22.45,273.6648734
2015-06-06,0.0,22.2,273.741792
2015-06-07,0.0,21.25,273.8530483
2015-06-08,2.6,20.45,273.7789352
2015-06-09,1.4,19.15,222.51322779999998
2015-06-10,3.2,19.85,274.1147766
2015-06-11,8.8,20.75,277.7286581
2015-06-12,0.0,20.85,296.6075439
2015-06-13,0.0,22.25,223.0464635
2015-06-14,0.0,20.25,228.03082709999998
2015-06-15,0.6,17.25,229.6978455
2015-06-16,0.8,19.65,290.513619
