,actual,predicted,error,error_abs,error_sq
2016-02-13,-1.2262738606806982,0,-1.2262738606806982,1.2262738606806982,1.5037475813887444
2016-02-23,-1.3822404367648293,0,-1.3822404367648293,1.3822404367648293,1.9105886250278261
2016-03-04,-1.364274249012711,0,-1.364274249012711,1.364274249012711,1.8612442265191969
2016-03-14,-1.478502096107747,0,-1.478502096107747,1.478502096107747,2.185968448195002
2016-03-24,-1.5183800886904912,0,-1.5183800886904912,1.5183800886904912,2.305478093731744
2016-04-03,-1.5448075189258197,0,-1.5448075189258197,1.5448075189258197,2.386430270529747
2016-04-13,-1.4958923334727283,0,-1.4958923334727283,1.4958923334727283,2.2376938733424843
2016-04-23,-1.458183880225998,0,-1.458183880225998,1.458183880225998,2.126300228550948
2016-05-03,-1.555217480435423,0,-1.555217480435423,1.555217480435423,2.4187014114519054
2016-05-13,-1.3981465105606168,0,-1.3981465105606168,1.3981465105606168,1.954813664992829
2016-05-23,-1.5536503251991027,0,-1.5536503251991027,1.5536503251991027,2.413829332991278
2016-06-02,-1.422707169370339,0,-1.422707169370339,1.422707169370339,2.0240956897777624
2016-06-12,-1.5078705042317226,0,-1.5078705042317226,1.5078705042317226,2.2736734575320297
2016-06-22,-1.448499739984163,0,-1.448499739984163,1.448499739984163,2.098151496734188
2016-07-02,-1.3229079364096934,0,-1.3229079364096934,1.3229079364096934,1.7500854082157533
2016-07-12,-1.276010605951149,0,-1.276010605951149,1.276010605951149,1.6282030664998182
2016-07-22,-1.2607048273490384,0,-1.2607048273490384,1.2607048273490384,1.5893766617011689
2016-08-01,-1.1200253940476543,0,-1.1200253940476543,1.1200253940476543,1.2544568833116034
2016-08-11,-1.1335985144323903,0,-1.1335985144323903,1.1335985144323903,1.2850455919233224
2016-08-21,-1.097598898254369,0,-1.097598898254369,1.097598898254369,1.2047233414492047
2016-08-31,-1.0262048173012532,0,-1.0262048173012532,1.0262048173012532,1.0530963270522986
2016-09-10,-0.9920888873127321,0,-0.9920888873127321,0.9920888873127321,0.984240360329415
2016-09-20,-0.9432263101942141,0,-0.9432263101942141,0.9432263101942141,0.8896758722425918
2016-09-30,-0.9935780200257145,0,-0.9935780200257145,0.9935780200257145,0.9871972818782191
2016-10-10,-0.9953392400887145,0,-0.9953392400887145,0.9953392400887145,0.9907002028603797
2016-10-20,-0.9510756987946237,0,-0.9510756987946237,0.9510756987946237,0.9045449848376819
2016-10-30,-1.0002669345433066,0,-1.0002669345433066,1.0002669345433066,1.0005339403406637
2016-11-09,-0.9582871725675158,0,-0.9582871725675158,0.9582871725675158,0.9183143051074438
2016-11-19,-1.0178192193214766,0,-1.0178192193214766,1.0178192193214766,1.03595596322018
2016-11-29,-0.95964052086023,0,-0.95964052086023,0.95964052086023,0.9209099292768935
2016-12-09,-0.9662404091493583,0,-0.9662404091493583,0.9662404091493583,0.9336205282731193
2016-12-19,-0.9118067080365326,0,-0.9118067080365326,0.9118067080365326,0.8313914728204187
2016-12-29,-0.9071545453146632,0,-0.9071545453146632,0.9071545453146632,0.8229293690850533
2017-01-08,-0.9151990884753962,0,-0.9151990884753962,0.9151990884753962,0.8375893715461961
2017-01-18,-0.741212595739428,0,-0.741212595739428,0.741212595739428,0.5493961120827807
2017-01-28,-0.7511356771724116,0,-0.7511356771724116,0.7511356771724116,0.5642048055212573
2017-02-07,-0.746040069182216,0,-0.746040069182216,0.746040069182216,0.5565757848254056
2017-02-17,-0.8575245981699585,0,-0.8575245981699585,0.8575245981699585,0.7353484364665488
2017-02-27,-0.9755305247213887,0,-0.9755305247213887,0.9755305247213887,0.9516598046631879
2017-03-09,-0.9729041831977222,0,-0.9729041831977222,0.9729041831977222,0.946542549683627
2017-03-19,-1.0719076514721186,0,-1.0719076514721186,1.0719076514721186,1.148986013284473
2017-03-29,-1.1183885536626674,0,-1.1183885536626674,1.1183885536626674,1.250792956963673
2017-04-08,-1.1218708645715407,0,-1.1218708645715407,1.1218708645715407,1.2585942367744962
2017-04-18,-1.1114941408138763,0,-1.1114941408138763,1.1114941408138763,1.2354192250635772
2017-04-28,-1.1404064309833502,0,-1.1404064309833502,1.1404064309833502,1.3005268278281825
2017-05-08,-1.1391544296704217,0,-1.1391544296704217,1.1391544296704217,1.2976728146377436
2017-05-18,-1.0929784808687537,0,-1.0929784808687537,1.0929784808687537,1.1946019596421686
2017-05-28,-1.0171645922081167,0,-1.0171645922081167,1.0171645922081167,1.0346238076419043
2017-06-07,-0.9325885216604712,0,-0.9325885216604712,0.9325885216604712,0.8697213507328633
2017-06-17,-0.7827671457892968,0,-0.7827671457892968,0.7827671457892968,0.6127244045271223
2017-06-27,-0.7476449583881334,0,-0.7476449583881334,0.7476449583881334,0.5589729838031937
2017-07-07,-0.6641908322946672,0,-0.6641908322946672,0.6641908322946672,0.44114946170428276
2017-07-17,-0.5601789866372069,0,-0.5601789866372069,0.5601789866372069,0.313800497069888
2017-07-27,-0.4540596454419381,0,-0.4540596454419381,0.4540596454419381,0.20617016161885854
2017-08-06,-0.38740629418480343,0,-0.38740629418480343,0.38740629418480343,0.15008363677400247
2017-08-16,-0.3995537799260856,0,-0.3995537799260856,0.3995537799260856,0.15964322305322284
2017-08-26,-0.38503189943641225,0,-0.38503189943641225,0.38503189943641225,0.14824956358361147
2017-09-05,-0.3809684525633372,0,-0.3809684525633372,0.3809684525633372,0.14513696184850372
2017-09-15,-0.37923391204720264,0,-0.37923391204720264,0.37923391204720264,0.14381836004662543
2017-09-25,-0.38099215583939294,0,-0.38099215583939294,0.38099215583939294,0.14515502281114828
2017-10-05,-0.38275119466787105,0,-0.38275119466787105,0.38275119466787105,0.14649847701968252
2017-10-15,-0.39150527483434283,0,-0.39150527483434283,0.39150527483434283,0.15327638022311432
2017-10-25,-0.3769147611315719,0,-0.3769147611315719,0.3769147611315719,0.1420647371588699
2017-11-04,-0.4207521130443059,0,-0.4207521130443059,0.4207521130443059,0.17703234063124834
2017-11-14,-0.36748284976751017,0,-0.36748284976751017,0.36748284976751017,0.13504364487325043
2017-11-24,-0.3880203356290432,0,-0.3880203356290432,0.3880203356290432,0.15055978086167532
2017-12-04,-0.3886184276383463,0,-0.3886184276383463,0.3886184276383463,0.1510242823001006
2017-12-14,-0.41151283582947495,0,-0.41151283582947495,0.41151283582947495,0.1693428140524164
2017-12-24,-0.4884244088423693,0,-0.4884244088423693,0.4884244088423693,0.23855840315301793
2018-01-03,-0.5217507611235794,0,-0.5217507611235794,0.5217507611235794,0.27222385673303445
2018-01-13,-0.545620799214638,0,-0.545620799214638,0.545620799214638,0.2977020565356203
2018-01-23,-0.4752237730909726,0,-0.4752237730909726,0.4752237730909726,0.2258376345108202
2018-02-02,-0.6596043237745278,0,-0.6596043237745278,0.6596043237745278,0.4350778639420521
2018-02-12,-0.6005923230176218,0,-0.6005923230176218,0.6005923230176218,0.36071113846770336
2018-02-22,-0.6763211148050421,0,-0.6763211148050421,0.6763211148050421,0.4574102503311349
2018-03-04,-0.7081707090744144,0,-0.7081707090744144,0.7081707090744144,0.5015057531909588
2018-03-14,-0.8830222829288579,0,-0.8830222829288579,0.8830222829288579,0.7797283521488919
2018-03-24,-0.9401979543555525,0,-0.9401979543555525,0.9401979543555525,0.8839721933743656
2018-04-03,-0.966382256064976,0,-0.966382256064976,0.966382256064976,0.9338946648372328
2018-04-13,-0.9758908169237843,0,-0.9758908169237843,0.9758908169237843,0.9523628865561711
2018-04-23,-1.01493876286205,0,-1.01493876286205,1.01493876286205,1.0301006923599487
2018-05-03,-1.0668135729983148,0,-1.0668135729983148,1.0668135729983148,1.1380911995334309
2018-05-13,-1.0533558598039656,0,-1.0533558598039656,1.0533558598039656,1.1095585673833517
2018-05-23,-1.0529886259989432,0,-1.0529886259989432,1.0529886259989432,1.1087850464831421
2018-06-02,-1.0573600146466438,0,-1.0573600146466438,1.0573600146466438,1.1180102005735506
2018-06-12,-1.0250594023170796,0,-1.0250594023170796,1.0250594023170796,1.0507467782786484
2018-06-22,-0.9574645866806695,0,-0.9574645866806695,0.9574645866806695,0.9167384347475852
2018-07-02,-0.8854639634983682,0,-0.8854639634983682,0.8854639634983682,0.7840464306542395
2018-07-12,-0.8445123359409847,0,-0.8445123359409847,0.8445123359409847,0.7132010855564986
2018-07-22,-0.8131780833467781,0,-0.8131780833467781,0.8131780833467781,0.6612585952355396
2018-08-01,-0.6919926690792648,0,-0.6919926690792648,0.6919926690792648,0.4788538540594449
2018-08-11,-0.6789128586676471,0,-0.6789128586676471,0.6789128586676471,0.46092266966427653
2018-08-21,-0.6729773806457159,0,-0.6729773806457159,0.6729773806457159,0.45289855486076874
2018-08-31,-0.6089458582505082,0,-0.6089458582505082,0.6089458582505082,0.370815058280448
2018-09-10,-0.5153691571909848,0,-0.5153691571909848,0.5153691571909848,0.26560536818374597
2018-09-20,-0.4551931049194613,0,-0.4551931049194613,0.4551931049194613,0.2072007627662197
2018-09-30,-0.4759399574136239,0,-0.4759399574136239,0.4759399574136239,0.2265188430628821
2018-10-10,-0.46334350198364005,0,-0.46334350198364005,0.46334350198364005,0.21468720083046344
2018-10-20,-0.5031774505201618,0,-0.5031774505201618,0.5031774505201618,0.2531875467119699
2018-10-30,-0.5167378988320714,0,-0.5167378988320714,0.5167378988320714,0.2670180560893841
2018-11-09,-0.4765836198239359,0,-0.4765836198239359,0.4765836198239359,0.22713194668448586
2018-11-19,-0.5618929360479787,0,-0.5618929360479787,0.5618929360479787,0.3157236715806179
2018-11-29,-0.4988625679939752,0,-0.4988625679939752,0.4988625679939752,0.24886386174554354
2018-12-09,-0.5483822036904246,0,-0.5483822036904246,0.5483822036904246,0.3007230413243663
2018-12-19,-0.47210859043859627,0,-0.47210859043859627,0.47210859043859627,0.22288652116591823
2018-12-29,-0.4714340024878891,0,-0.4714340024878891,0.4714340024878891,0.222250018701751
2019-01-08,-0.4407720059752473,0,-0.4407720059752473,0.4407720059752473,0.19427996125144342
2019-01-18,-0.4521671360725914,0,-0.4521671360725914,0.4521671360725914,0.20445511894408938
2019-01-28,-0.4395167084755696,0,-0.4395167084755696,0.4395167084755696,0.19317493702919886
2019-02-07,-0.3222212431147374,0,-0.3222212431147374,0.3222212431147374,0.10382652951440668
2019-02-17,-0.3398736653483724,0,-0.3398736653483724,0.3398736653483724,0.11551410839733742
2019-02-27,-0.5081995945467663,0,-0.5081995945467663,0.5081995945467663,0.25826682789749766
2019-03-09,-0.5665819711168983,0,-0.5665819711168983,0.5665819711168983,0.3210151299947098
2019-03-19,-0.4981080700791687,0,-0.4981080700791687,0.4981080700791687,0.24811164947799402
2019-03-29,-0.5686958696758828,0,-0.5686958696758828,0.5686958696758828,0.3234149921864087
2019-04-08,-0.5799306676851999,0,-0.5799306676851999,0.5799306676851999,0.33631957932180173
2019-04-18,-0.5754170752775266,0,-0.5754170752775266,0.5754170752775266,0.3311048105209427
2019-04-28,-0.6702342687936844,0,-0.6702342687936844,0.6702342687936844,0.44921397506540484
2019-05-08,-0.6836771481442359,0,-0.6836771481442359,0.6836771481442359,0.4674144428946354
2019-05-18,-0.7298388369262043,0,-0.7298388369262043,0.7298388369262043,0.5326647278857947
2019-05-28,-0.7067361139824455,0,-0.7067361139824455,0.7067361139824455,0.4994759348070082
2019-06-07,-0.6581949516083119,0,-0.6581949516083119,0.6581949516083119,0.433220594322668
2019-06-17,-0.5842454508372295,0,-0.5842454508372295,0.5842454508372295,0.3413427468239975
2019-06-27,-0.4861086484910328,0,-0.4861086484910328,0.4861086484910328,0.23630161813777847
2019-07-07,-0.46475123562642173,0,-0.46475123562642173,0.46475123562642173,0.21599371101628578
2019-07-17,-0.38739674274264213,0,-0.38739674274264213,0.38739674274264213,0.15007623628760886
2019-07-27,-0.375929536017759,0,-0.375929536017759,0.375929536017759,0.14132301605052758
2019-08-06,-0.27417975746832124,0,-0.27417975746832124,0.27417975746832124,0.07517453940538746
2019-08-16,-0.19812546715510898,0,-0.19812546715510898,0.19812546715510898,0.03925370073543017
2019-08-26,-0.20767925809616683,0,-0.20767925809616683,0.20767925809616683,0.04313067424337427
2019-09-05,-0.1817359801759234,0,-0.1817359801759234,0.1817359801759234,0.03302796649050362
2019-09-15,-0.14844579993334697,0,-0.14844579993334697,0.14844579993334697,0.022036155517851277
2019-09-25,-0.12006656997404731,0,-0.12006656997404731,0.12006656997404731,0.0144159812253328
2019-10-05,-0.02538042647371218,0,-0.02538042647371218,0.02538042647371218,0.0006441660479875102
2019-10-15,0.023819362685061872,0,0.023819362685061872,0.023819362685061872,0.0005673620387225179
2019-10-25,0.006564325844568363,0,0.006564325844568363,0.006564325844568363,4.309037379366816e-05
2019-11-04,-0.21643227065655785,0,-0.21643227065655785,0.21643227065655785,0.04684292778155351
2019-11-14,-0.3210133550714095,0,-0.3210133550714095,0.3210133550714095,0.10304957413420282
2019-11-24,-0.4243243212546967,0,-0.4243243212546967,0.4243243212546967,0.18005112960825906
2019-12-04,-0.45714249447489047,0,-0.45714249447489047,0.45714249447489047,0.20897926025472527
2019-12-14,-0.5975203306848412,0,-0.5975203306848412,0.5975203306848412,0.35703054558172204
2019-12-24,-0.5657096052989783,0,-0.5657096052989783,0.5657096052989783,0.3200273575275258
2020-01-03,-0.6441633617448308,0,-0.6441633617448308,0.6441633617448308,0.4149464366144017
2020-01-13,-0.6803605046963959,0,-0.6803605046963959,0.6803605046963959,0.4628904163507345
2020-01-23,-0.8231212157638685,0,-0.8231212157638685,0.8231212157638685,0.677528535840589
2020-02-02,-0.8600964017868558,0,-0.8600964017868558,0.8600964017868558,0.7397658203666964
2020-02-12,-0.9168129922747055,0,-0.9168129922747055,0.9168129922747055,0.8405460628036991
2020-02-22,-0.9869896877810993,0,-0.9869896877810993,0.9869896877810993,0.9741486437862319
2020-03-03,-1.1090139189587356,0,-1.1090139189587356,1.1090139189587356,1.2299118724442129
2020-03-13,-1.079104583603013,0,-1.079104583603013,1.079104583603013,1.1644667023530322
2020-03-23,-1.1473413033348576,0,-1.1473413033348576,1.1473413033348576,1.3163920663381297
2020-04-02,-1.1123025871023347,0,-1.1123025871023347,1.1123025871023347,1.2372170452745468
2020-04-12,-1.0365458665421075,0,-1.0365458665421075,1.0365458665421075,1.0744273334455285
2020-04-22,-1.0826336302207071,0,-1.0826336302207071,1.0826336302207071,1.172095577284867
2020-05-02,-1.059102714691411,0,-1.059102714691411,1.059102714691411,1.1216985602667162
2020-05-12,-1.0592335145968426,0,-1.0592335145968426,1.0592335145968426,1.1219756384451796
2020-05-22,-0.9528096199156312,0,-0.9528096199156312,0.9528096199156312,0.9078461718037696
2020-06-01,-1.0265074890176464,0,-1.0265074890176464,1.0265074890176464,1.0537176250093134
2020-06-11,-1.0094492001794104,0,-1.0094492001794104,1.0094492001794104,1.0189876877428514
