,actual,predicted,error,error_abs,error_sq
2017-09-15,1.330885075254464,0,1.330885075254464,1.330885075254464,1.7712550835350804
2017-11-14,1.934749445421518,0,1.934749445421518,1.934749445421518,3.7432554165588714
2018-01-13,2.3062358146696695,0,2.3062358146696695,2.3062358146696695,5.318723632865074
2018-03-14,2.253077687414052,0,2.253077687414052,2.253077687414052,5.076359065523053
2018-05-13,1.9182639263181618,0,1.9182639263181618,1.9182639263181618,3.67973649101357
2018-07-12,2.1773546587870496,0,2.1773546587870496,2.1773546587870496,4.740873310141669
2018-09-10,1.9971994082965248,0,1.9971994082965248,1.9971994082965248,3.9888054764999885
2018-11-09,2.1332893813883853,0,2.1332893813883853,2.1332893813883853,4.55092358474444
2019-01-08,1.9489522868687101,0,1.9489522868687101,1.9489522868687101,3.798415016490775
2019-03-09,2.235678866031317,0,2.235678866031317,2.235678866031317,4.998259992019075
2019-05-08,2.0572567817707954,0,2.0572567817707954,2.0572567817707954,4.23230546614193
2019-07-07,2.107553932443977,0,2.107553932443977,2.107553932443977,4.441783578160071
2019-09-05,1.6621116923224253,0,1.6621116923224253,1.6621116923224253,2.7626152777549167
2019-11-04,1.8242910948850972,0,1.8242910948850972,1.8242910948850972,3.328037998877067
2020-01-03,1.6576873772218255,0,1.6576873772218255,1.6576873772218255,2.7479274406005745
2020-03-03,1.7038895634775106,0,1.7038895634775106,1.7038895634775106,2.9032396445275817
