,actual,predicted,error,error_abs,error_sq
2018-09-10,0.2151266955027771,0,0.2151266955027771,0.2151266955027771,0.04627949511794458
2018-09-25,0.11745533232160821,0,0.11745533232160821,0.11745533232160821,0.013795755090779422
2018-10-10,0.04424322476179968,0,0.04424322476179968,0.04424322476179968,0.001957462937323124
2018-10-25,0.07580928827485296,0,0.07580928827485296,0.07580928827485296,0.0057470481887397585
2018-11-09,0.10737733348829512,0,0.10737733348829512,0.10737733348829512,0.011529891747056544
2018-11-24,-0.07011940081217562,0,-0.07011940081217562,0.07011940081217562,0.004916730370258534
2018-12-09,-0.2475990302713307,0,-0.2475990302713307,0.2475990302713307,0.06130527979130334
2018-12-24,-0.27359609981929234,0,-0.27359609981929234,0.27359609981929234,0.07485482583632817
2019-01-08,-0.30882115839356855,0,-0.30882115839356855,0.30882115839356855,0.09537050787154555
2019-01-23,-0.08275475040607118,0,-0.08275475040607118,0.08275475040607118,0.006848348714771138
2019-02-07,0.32533732389784525,0,0.32533732389784525,0.32533732389784525,0.10584437432101147
2019-02-22,0.04986164938635931,0,0.04986164938635931,0.04986164938635931,0.0024861840795282254
2019-03-09,-0.22542171875574718,0,-0.22542171875574718,0.22542171875574718,0.05081495128679518
2019-03-24,-0.13505771469545363,0,-0.13505771469545363,0.13505771469545363,0.018240586298758552
2019-04-08,-0.016377508915990793,0,-0.016377508915990793,0.016377508915990793,0.0002682227982933579
2019-04-23,-0.05982888224693864,0,-0.05982888224693864,0.05982888224693864,0.00357949515091805
2019-05-08,-0.1179826117522132,0,-0.1179826117522132,0.1179826117522132,0.013919896675873475
2019-05-23,0.08307663893103623,0,0.08307663893103623,0.08307663893103623,0.006901727936077765
2019-06-07,0.4468878524575202,0,0.4468878524575202,0.4468878524575202,0.19970875267409435
2019-06-22,0.4281211307411491,0,0.4281211307411491,0.4281211307411491,0.18328770258708008
2019-07-07,0.39670300761739924,0,0.39670300761739924,0.39670300761739924,0.15737327625269032
2019-07-22,0.4434635569791775,0,0.4434635569791775,0.4434635569791775,0.1966599263686242
2019-08-06,0.5645722453676996,0,0.5645722453676996,0.5645722453676996,0.31874182023952596
2019-08-21,-0.042157126684915766,0,-0.042157126684915766,0.042157126684915766,0.001777223330328037
2019-09-05,-2.291687311838317,0,-2.291687311838317,2.291687311838317,5.251830735240731
2019-09-20,-2.283139285819373,0,-2.283139285819373,2.283139285819373,5.212724998451796
2019-10-05,-2.410144424602721,0,-2.410144424602721,2.410144424602721,5.80879614744358
2019-10-20,-2.3627835369674837,0,-2.3627835369674837,2.3627835369674837,5.5827460425645725
2019-11-04,-2.4208773608467475,0,-2.4208773608467475,2.4208773608467475,5.860647196260313
2019-11-19,-2.3511359883199887,0,-2.3511359883199887,2.3511359883199887,5.5278404355734105
2019-12-04,-2.278214255744175,0,-2.278214255744175,2.278214255744175,5.190260195075985
2019-12-19,-1.9974122015220883,0,-1.9974122015220883,1.9974122015220883,3.9896555027893155
2020-01-03,0.8947692655540885,0,0.8947692655540885,0.8947692655540885,0.800612038580203
2020-01-18,0.8881850883697204,0,0.8881850883697204,0.8881850883697204,0.7888727512023281
2020-02-02,1.5462096590032717,0,1.5462096590032717,1.5462096590032717,2.3907643095950135
2020-02-17,1.5125094390826705,0,1.5125094390826705,1.5125094390826705,2.287684803314175
2020-03-03,1.3189906382848704,0,1.3189906382848704,1.3189906382848704,1.7397363038831297
2020-03-18,1.3047692469374785,0,1.3047692469374785,1.3047692469374785,1.7024227877537947
2020-04-02,1.5017146539295851,0,1.5017146539295851,1.5017146539295851,2.2551469018268535
2020-04-17,1.4828316004528574,0,1.4828316004528574,1.4828316004528574,2.1987895553015826
2020-05-02,1.1361660137577527,0,1.1361660137577527,1.1361660137577527,1.290873210818182
2020-05-17,1.126210003932136,0,1.126210003932136,1.126210003932136,1.268348972956822
2020-06-01,0.9978254832568557,0,0.9978254832568557,0.9978254832568557,0.9956556950367776
