,actual,predicted,error,error_abs,error_sq
2018-09-10,-1.5283599828717793,0,-1.5283599828717793,1.5283599828717793,2.3358842372438255
2018-10-10,-1.6383886652437694,0,-1.6383886652437694,1.6383886652437694,2.68431741839926
2018-11-09,-1.445823444732247,0,-1.445823444732247,1.445823444732247,2.090405433337421
2018-12-09,-1.6847567175357874,0,-1.6847567175357874,1.6847567175357874,2.838405197281961
2019-01-08,-1.45099390832241,0,-1.45099390832241,1.45099390832241,2.105383321988742
2019-02-07,-0.7842266862675944,0,-0.7842266862675944,0.7842266862675944,0.6150114954542519
2019-03-09,-1.4961951549303987,0,-1.4961951549303987,1.4961951549303987,2.2385999416371996
2019-04-08,-1.2509846051779938,0,-1.2509846051779938,1.2509846051779938,1.5649624823923411
2019-05-08,-1.377006947786334,0,-1.377006947786334,1.377006947786334,1.8961481342518356
2019-06-07,-1.0956955956170888,0,-1.0956955956170888,1.0956955956170888,1.2005488382546872
2019-07-07,-1.3143843103529957,0,-1.3143843103529957,1.3143843103529957,1.7276061153021203
2019-08-06,-1.172223121666786,0,-1.172223121666786,1.172223121666786,1.3741070469702246
2019-09-05,-0.853797975999673,0,-0.853797975999673,0.853797975999673,0.7289709838211382
2019-10-05,-1.0593175564770978,0,-1.0593175564770978,1.0593175564770978,1.1221536854606093
2019-11-04,-0.6867714882788786,0,-0.6867714882788786,0.6867714882788786,0.47165507711278587
2019-12-04,-0.8609549987156958,0,-0.8609549987156958,0.8609549987156958,0.7412435098135438
2020-01-03,-0.7709782120963361,0,-0.7709782120963361,0.7709782120963361,0.5944074035272631
2020-02-02,-0.03229449871625925,0,-0.03229449871625925,0.03229449871625925,0.0010429346473344705
2020-03-03,-0.518653261886574,0,-0.518653261886574,0.518653261886574,0.26900120606558314
2020-04-02,-0.07100584423625125,0,-0.07100584423625125,0.07100584423625125,0.005041829915702775
2020-05-02,-0.32250776742151255,0,-0.32250776742151255,0.32250776742151255,0.10401126004720843
