,Depth_to_Groundwater_SAL_pred,Depth_to_Groundwater_SAL_actual,Depth_to_Groundwater_SAL_resid,Depth_to_Groundwater_CoS_pred,Depth_to_Groundwater_CoS_actual,Depth_to_Groundwater_CoS_resid,Depth_to_Groundwater_LT2_pred,Depth_to_Groundwater_LT2_actual,Depth_to_Groundwater_LT2_resid,Depth_to_Groundwater_Pozzo_1_pred,Depth_to_Groundwater_Pozzo_1_actual,Depth_to_Groundwater_Pozzo_1_resid,Depth_to_Groundwater_Pozzo_2_pred,Depth_to_Groundwater_Pozzo_2_actual,Depth_to_Groundwater_Pozzo_2_resid,Depth_to_Groundwater_Pozzo_3_pred,Depth_to_Groundwater_Pozzo_3_actual,Depth_to_Groundwater_Pozzo_3_resid,Depth_to_Groundwater_Pozzo_4_pred,Depth_to_Groundwater_Pozzo_4_actual,Depth_to_Groundwater_Pozzo_4_resid,Depth_to_Groundwater_Pozzo_5_pred,Depth_to_Groundwater_Pozzo_5_actual,Depth_to_Groundwater_Pozzo_5_resid,Depth_to_Groundwater_Pozzo_6_pred,Depth_to_Groundwater_Pozzo_6_actual,Depth_to_Groundwater_Pozzo_6_resid,Depth_to_Groundwater_Pozzo_7_pred,Depth_to_Groundwater_Pozzo_7_actual,Depth_to_Groundwater_Pozzo_7_resid,Depth_to_Groundwater_Pozzo_8_pred,Depth_to_Groundwater_Pozzo_8_actual,Depth_to_Groundwater_Pozzo_8_resid,Depth_to_Groundwater_Pozzo_9_pred,Depth_to_Groundwater_Pozzo_9_actual,Depth_to_Groundwater_Pozzo_9_resid,Depth_to_Groundwater_Podere_Casetta_pred,Depth_to_Groundwater_Podere_Casetta_actual,Depth_to_Groundwater_Podere_Casetta_resid,Depth_to_Groundwater_P24_pred,Depth_to_Groundwater_P24_actual,Depth_to_Groundwater_P24_resid,Depth_to_Groundwater_P25_pred,Depth_to_Groundwater_P25_actual,Depth_to_Groundwater_P25_resid
2007-04-18,0.0,2.064834495783308,-2.064834495783308,0.0,-1.204446052671079,1.204446052671079,0.0,1.672612972251451,-1.672612972251451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2781805656230085,-0.2781805656230085,0.0,0.16612535880348983,-0.16612535880348983
2007-04-19,0.0,2.030186675920107,-2.030186675920107,0.0,-1.1598280532636007,1.1598280532636007,0.0,1.672612972251451,-1.672612972251451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2781805656230085,-0.2781805656230085,0.0,0.16301775968801954,-0.16301775968801954
2007-04-20,0.0,2.0994823156465072,-2.0994823156465072,0.0,-1.1375190535598614,1.1375190535598614,0.0,1.672612972251451,-1.672612972251451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2600583056151213,-0.2600583056151213,0.0,0.17234055703443152,-0.17234055703443152
2007-04-21,0.0,2.1514540454413082,-2.1514540454413082,0.0,-1.070592054448644,1.070592054448644,0.0,1.6948686935964021,-1.6948686935964021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2328749156032915,-0.2328749156032915,0.0,0.16923295791896123,-0.16923295791896123
2007-04-22,0.0,2.1861018653045075,-2.1861018653045075,0.0,-0.9962287221028463,0.9962287221028463,0.0,1.728252275613826,-1.728252275613826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3204658389747429,-0.3204658389747429,0.0,0.20030894907366972,-0.20030894907366972
2007-04-23,0.0,2.203425775236109,-2.203425775236109,0.0,-0.966483389164528,0.966483389164528,0.0,1.7393801362863008,-1.7393801362863008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.28120094229098896,-0.28120094229098896,0.0,0.19409375084272804,-0.19409375084272804
2007-04-24,0.0,2.238073595099308,-2.238073595099308,0.0,-0.9590470559299479,0.9590470559299479,0.0,1.728252275613826,-1.728252275613826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2751601889550269,-0.2751601889550269,0.0,0.17855575526537434,-0.17855575526537434
2007-04-25,0.0,2.255397505030908,-2.255397505030908,0.0,-0.966483389164528,0.966483389164528,0.0,1.6948686935964021,-1.6948686935964021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.15132474556780215,-0.15132474556780215,0.0,0.14437216499519334,-0.14437216499519334
2007-04-26,0.0,2.272721414962509,-2.272721414962509,0.0,-0.9441743894607887,0.9441743894607887,0.0,1.7171244149413516,-1.7171244149413516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.15434512223578373,-0.15434512223578373,0.0,0.14437216499519334,-0.14437216499519334
2007-04-27,0.0,2.290045324894109,-2.290045324894109,0.0,-0.9144290565224698,0.9144290565224698,0.0,1.7393801362863008,-1.7393801362863008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2419360456072351,-0.2419360456072351,0.0,0.14747976411066474,-0.14747976411066474
2007-04-28,0.0,2.3073692348257087,-2.3073692348257087,0.0,-0.8698110571149911,0.8698110571149911,0.0,1.7505079969587756,-1.7505079969587756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2751601889550269,-0.2751601889550269,0.0,0.17234055703443152,-0.17234055703443152
2007-04-29,0.0,2.064834495783308,-2.064834495783308,0.0,-0.8400657241766721,0.8400657241766721,0.0,1.7171244149413516,-1.7171244149413516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.15434512223578373,-0.15434512223578373,0.0,0.14747976411066474,-0.14747976411066474
2007-04-30,0.0,1.8569475766041068,-1.8569475766041068,0.0,-0.8623747238804115,0.8623747238804115,0.0,1.6837408329239254,-1.6837408329239254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.08487645887221848,-0.08487645887221848,0.0,0.10397337649407176,-0.10397337649407176
2007-05-01,0.0,2.0994823156465072,-2.0994823156465072,0.0,-0.8623747238804115,0.8623747238804115,0.0,1.6837408329239254,-1.6837408329239254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.009367042172691202,-0.009367042172691202,0.0,0.03871379506918228,-0.03871379506918228
2007-05-02,0.0,2.168777955372908,-2.168777955372908,0.0,-0.8549383906458319,0.8549383906458319,0.0,1.7059965542688769,-1.7059965542688769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00030591216874758576,-0.00030591216874758576,0.0,0.026283398607298884,-0.026283398607298884
2007-05-03,0.0,2.272721414962509,-2.272721414962509,0.0,-0.8326293909420925,0.8326293909420925,0.0,1.6948686935964021,-1.6948686935964021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.006346665504709639,-0.006346665504709639,0.0,0.020068200376357186,-0.020068200376357186
2007-05-04,0.0,2.2207496851677084,-2.2207496851677084,0.0,-0.8623747238804115,0.8623747238804115,0.0,1.6281015295615522,-1.6281015295615522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00030591216874758576,-0.00030591216874758576,0.0,0.01074540302994409,-0.01074540302994409
2007-05-05,0.0,2.238073595099308,-2.238073595099308,0.0,-0.9813560556336872,0.9813560556336872,0.0,1.6281015295615522,-1.6281015295615522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03655043218452098,-0.03655043218452098,0.0,0.020068200376357186,-0.020068200376357186
