,actual,predicted,error,error_abs,error_sq
2015-10-11,-0.9969646730126311,0,-0.9969646730126311,0.9969646730126311,0.9939385592351825
2015-10-26,-0.9077327988243311,0,-0.9077327988243311,0.9077327988243311,0.8239788340614536
2015-11-10,-0.8568359773819777,0,-0.8568359773819777,0.8568359773819777,0.734167892136129
2015-11-25,-0.8215330757006847,0,-0.8215330757006847,0.8215330757006847,0.6749165944702269
2015-12-10,-0.7818985296413183,0,-0.7818985296413183,0.7818985296413183,0.6113653106552556
2015-12-25,-0.7901286539596551,0,-0.7901286539596551,0.7901286539596551,0.6243032898080965
2016-01-09,-0.702196273084779,0,-0.702196273084779,0.702196273084779,0.4930796059341536
2016-01-24,-0.6248764209361792,0,-0.6248764209361792,0.6248764209361792,0.39047054144200904
2016-02-08,-0.5750625105883433,0,-0.5750625105883433,0.5750625105883433,0.3306968910841685
2016-02-23,-0.6116649055830593,0,-0.6116649055830593,0.6116649055830593,0.37413395672193284
2016-03-09,-0.5627173241108365,0,-0.5627173241108365,0.5627173241108365,0.31665078685446024
2016-03-24,-0.5616344130163179,0,-0.5616344130163179,0.5616344130163179,0.31543321388418394
2016-04-08,-0.5126868315440941,0,-0.5126868315440941,0.5126868315440941,0.2628477872387223
2016-04-23,-0.5356445467478824,0,-0.5356445467478824,0.5356445467478824,0.2869150804607444
2016-05-08,-0.538893280031435,0,-0.538893280031435,0.538893280031435,0.29040596726303863
2016-05-23,-0.6560642604583033,0,-0.6560642604583033,0.6560642604583033,0.4304203138507005
2016-06-07,-0.678588811224283,0,-0.678588811224283,0.678588811224283,0.4604827747187857
2016-06-22,-0.6268256609063142,0,-0.6268256609063142,0.6268256609063142,0.3929104091706376
2016-07-07,-0.5564364397626305,0,-0.5564364397626305,0.5564364397626305,0.3096215114957115
2016-07-22,-0.49471050737509425,0,-0.49471050737509425,0.49471050737509425,0.24473848610732318
2016-08-06,-0.42388812179360386,0,-0.42388812179360386,0.42388812179360386,0.17968113979770914
2016-08-21,-0.40504546874898656,0,-0.40504546874898656,0.40504546874898656,0.16406183175408626
2016-09-05,-0.4041791398733723,0,-0.4041791398733723,0.4041791398733723,0.16336077710877903
2016-09-20,-0.5250320180216019,0,-0.5250320180216019,0.5250320180216019,0.27565861994783575
2016-10-05,-0.5219998669569538,0,-0.5219998669569538,0.5219998669569538,0.27248386110307743
2016-10-20,-0.5501555554144254,0,-0.5501555554144254,0.5501555554144254,0.3026711351533549
2016-11-04,-0.5952046569463804,0,-0.5952046569463804,0.5952046569463804,0.35426858365065833
2016-11-19,-0.6907174154828855,0,-0.6907174154828855,0.6907174154828855,0.47709054805135703
2016-12-04,-0.7353333525770371,0,-0.7353333525770371,0.7353333525770371,0.5407151394121852
2016-12-19,-0.7862301740193917,0,-0.7862301740193917,0.7862301740193917,0.6181578865385629
2017-01-03,-0.6978646287067068,0,-0.6978646287067068,0.6978646287067068,0.48701503999994983
2017-01-18,-0.7595905610942442,0,-0.7595905610942442,0.7595905610942442,0.5769778205034687
2017-02-02,-0.7979256138401865,0,-0.7979256138401865,0.7979256138401865,0.6366852852222383
