,actual,predicted,error,error_abs,error_sq
2017-10-30,0.18490164439531437,0,0.18490164439531437,0.18490164439531437,0.034188618100091286
2017-11-14,0.27732653103803184,0,0.27732653103803184,0.27732653103803184,0.07691000481758845
2017-11-29,0.49791392715869687,0,0.49791392715869687,0.49791392715869687,0.2479182788585961
2017-12-14,0.6260764366366321,0,0.6260764366366321,0.6260764366366321,0.3919717045116229
2017-12-29,0.6913900231974763,0,0.6913900231974763,0.6913900231974763,0.4780201641770069
2018-01-13,0.7579359415802522,0,0.7579359415802522,0.7579359415802522,0.5744668915391435
2018-01-28,0.7958301451037678,0,0.7958301451037678,0.7958301451037678,0.6333456198558841
2018-02-12,0.8445072520689564,0,0.8445072520689564,0.8445072520689564,0.7131924987970598
2018-02-27,0.9064319261195833,0,0.9064319261195833,0.9064319261195833,0.8216188366888578
2018-03-14,0.8657649759967673,0,0.8657649759967673,0.8657649759967673,0.749548993662683
2018-03-29,0.9360078898452465,0,0.9360078898452465,0.9360078898452465,0.8761107698525511
2018-04-13,0.883633787414373,0,0.883633787414373,0.883633787414373,0.7808086702602695
2018-04-28,0.9159824977393306,0,0.9159824977393306,0.9159824977393306,0.8390239361647828
2018-05-13,0.48897952144990925,0,0.48897952144990925,0.48897952144990925,0.23910097239738226
2018-05-28,0.8867146169691167,0,0.8867146169691167,0.8867146169691167,0.7862628119466873
2018-06-12,0.8417345054696682,0,0.8417345054696682,0.8417345054696682,0.7085169776982669
2018-06-27,0.9874577434097171,0,0.9874577434097171,0.9874577434097171,0.9750727950198108
2018-07-12,1.040756094707024,0,1.040756094707024,1.040756094707024,1.083173248669816
2018-07-27,1.0848119573400574,0,1.0848119573400574,1.0848119573400574,1.1768169827879666
2018-08-11,1.0413722606179532,0,1.0413722606179532,1.0413722606179532,1.0844561851845462
2018-08-26,1.0678673947888666,0,1.0678673947888666,1.0678673947888666,1.1403407728531612
2018-09-10,0.9652757706154421,0,0.9652757706154421,0.9652757706154421,0.9317573133372357
2018-09-25,1.00347805709445,0,1.00347805709445,1.00347805709445,1.0069682110700522
2018-10-10,0.9942355684301701,0,0.9942355684301701,0.9942355684301701,0.9885043655316635
2018-10-25,1.2049643099755958,0,1.2049643099755958,1.2049643099755958,1.4519389883149636
2018-11-09,1.0995999392028952,0,1.0995999392028952,1.0995999392028952,1.2091200262950108
2018-11-24,1.34021272742947,0,1.34021272742947,1.34021272742947,1.7961701547639388
2018-12-09,1.204656227020128,0,1.204656227020128,1.204656227020128,1.4511966252983701
2018-12-24,1.3047831875497626,0,1.3047831875497626,1.3047831875497626,1.702459166512519
2019-01-08,1.093438280093359,0,1.093438280093359,1.093438280093359,1.1956072723735232
2019-01-23,0.976982922923518,0,0.976982922923518,0.976982922923518,0.9544956316841806
2019-02-07,1.2721263942693253,0,1.2721263942693253,1.2721263942693253,1.6183055629966747
2019-02-22,1.432637614072212,0,1.432637614072212,1.432637614072212,2.05245053325452
